식당이름,메뉴이름,가격
맥도날드 구의역점,더블 불고기 버거,
맥도날드 구의역점,슈비버거,
맥도날드 구의역점,슈슈버거,
맥도날드 구의역점,맥스파이시 상하이 버거,
맥도날드 구의역점,아메리카노,
맥도날드 구의역점,1955버거,
맥도날드 구의역점,오레오 맥플러리,
맥도날드 구의역점,딸기 오레오 맥플러리,
맥도날드 구의역점,초코 오레오 맥플러리,
맥도날드 구의역점,배칠러,
맥도날드 구의역점,에그 불고기버거,
맥도날드 구의역점,타로파이,
맥도날드 구의역점,필레오피쉬,
단골손님 건대점,돼지 김치 전골,18000
단골손님 건대점,단골손님 곱창 전골 (우곱창),19500
단골손님 건대점,단골손님 사골 전골 (우목심),19500
단골손님 건대점,단골손임 우차돌 전골 (우삼겹양지),19500
단골손님 건대점,돼지두루치기,18000
단골손님 건대점,파절이 삼겹살,19000
단골손님 건대점,홍천 닭갈비,19000
카페오로시,청포도 쥬스,5000
카페오로시,딸기 스무디,5000
카페오로시,블루베리 스무디,5000
카페오로시,요거트 스무디,5000
카페오로시,망고 스무디,5300
스타벅스 구의역,토피 넛 라떼,5800
스타벅스 구의역,아이스 토피 넛 라떼,5800
스타벅스 구의역,토피 넛 프라푸치노,6300
스타벅스 구의역,토피 넛 콜드 브루,5800
스타벅스 구의역,핑크 캐모마일 릴렉서,6100
스타벅스 구의역,아이스 핑크 캐모마일 릴렉서,6100
스타벅스 구의역,오늘의 커피,3800
스타벅스 구의역,카푸치노,4600
스타벅스 구의역,카페 라떼,4600
스타벅스 구의역,카페 모카,5100
스타벅스 구의역,카페 아메리카노,4100
스타벅스 구의역,카라멜 마키아또,5600
스타벅스 구의역,화이트 초콜릿 모카,5600
스타벅스 구의역,스타벅스 돌체 라떼,5600
스타벅스 구의역,자바 칩 프라푸치노,6100
스타벅스 구의역,망고 바나나 블렌디드,6300
스타벅스 구의역,아이스 자몽 허니 블랙 티,5300
스타벅스 구의역,자몽 허니 블랙 티,5300
스타벅스 구의역,콜드 브루,4500
스타벅스 구의역,디카페인 카페 아메리카노,4400
스타벅스 구의역,디카페인 카페 라떼,4900
스타벅스 구의역,제주 유기농 말차로 만든 라떼,6100
스타벅스 구의역,돌체 콜드 브루,5800
참곱창,야채곱창,8000
참곱창,알곱창,10000
참곱창,뼈없는닭발,9000
참곱창,오돌뼈,8000
버거킹 건대입구역점,더블화이트갈릭와퍼 세트,12200
버거킹 건대입구역점,화이트갈릭와퍼 세트,10200
버거킹 건대입구역점,더블화이트갈릭팩1,22100
버거킹 건대입구역점,더블화이트갈릭팩2,21100
버거킹 건대입구역점,화이트갈릭팩3,20600
버거킹 건대입구역점,몬스터X 세트,11700
버거킹 건대입구역점,불고기와퍼주니어세트,7500
버거킹 건대입구역점,불고기와퍼세트,9300
버거킹 건대입구역점,기네스와퍼 세트,10700
버거킹 건대입구역점,콰트로치즈X 세트,11100
버거킹 건대입구역점,통새우X 세트,11100
버거킹 건대입구역점,기네스머쉬룸와퍼 세트,11100
버거킹 건대입구역점,기네스콰트로치즈와퍼 세트,10700
버거킹 건대입구역점,스태커 2 와퍼 세트,11900
버거킹 건대입구역점,스태커 3 와퍼 세트,13900
버거킹 건대입구역점,스태커 4 와퍼 세트,15900
버거킹 건대입구역점,콰트로치즈와퍼 세트,10100
버거킹 건대입구역점,몬스터와퍼 세트,10700
버거킹 건대입구역점,할라피뇨와퍼 세트,10100
버거킹 건대입구역점,통새우와퍼세트,10100
피자컴퍼니 군자점,트리플 슈림프 스테이크피자,22000
피자컴퍼니 군자점,스테이크 러버 피자,19000
피자컴퍼니 군자점,갈릭 슈림프,19000
피자컴퍼니 군자점,화가 난 제육 피자,19000
피자컴퍼니 군자점,화가 난 한판 불고기,19000
간도우초밥집,모듬한접시 (10p) +미니우동,14000
간도우초밥집,특선초밥 (12p) + 미니우동,17000
간도우초밥집,커플세트,39000
간도우초밥집,친구세트,37000
간도우초밥집,트리플세트,49000
간도우초밥집,쿼터플세트,59000
고기원칙 구의역점,숙성삼겹(180g),13000
고기원칙 구의역점,황제덧살(180g),14000
고기원칙 구의역점,와규엄선(160g),19000
고기원칙 구의역점,불고기쌈밥 (점심메뉴),7000
고기원칙 구의역점,청어알 비빔밥 (점심메뉴),7000
브네,트러플 감자튀김,9500
브네,먹물 가지 튀김,14000
브네,가츠산도,11000
브네,세비체,20000
브네,삼치파스타,25000
브네,소꼬리라구파스타,23000
허씨정통중경마라쌍궈 3호점,마라탕(100g),2000
허씨정통중경마라쌍궈 3호점,마라탕(100g),2500
허씨정통중경마라쌍궈 3호점,마라샹궈(100g),2500
허씨정통중경마라쌍궈 3호점,탕수육,11000
허씨정통중경마라쌍궈 3호점,마파두부,8000
마냐나,그릴드 스테이크 플래터 (2인),49000
마냐나,구운 버섯 샐러드,8000
마냐나,쉬림프 토마토 리조또,17000
마냐나,폴드포크 로제 파스타,17000
마냐나,루꼴라 피자,19000
김과장고깃집 구의점,삼겹살 (180g),8900
김과장고깃집 구의점,목살 (180g),8900
김과장고깃집 구의점,소막창 (200g),12000
김과장고깃집 구의점,와규 (150g),13900
김과장고깃집 구의점,살치살 (150g),18900
김과장고깃집 구의점,항정살,12000
김과장고깃집 구의점,김계장해장국,5000
소문난순대국왕족발 중곡본점,순대국 (보통),6000
소문난순대국왕족발 중곡본점,순대국 (특),7000
소문난순대국왕족발 중곡본점,살코기순대국,6000
소문난순대국왕족발 중곡본점,내장순대국 (보통),6000
소문난순대국왕족발 중곡본점,내장순대국 (특),7000
속초가,코다리조림,32000
속초가,비빔막국수,7500
속초가,동치미막국수,7500
속초가,코다리찜 (소),32000
속초가,편육,15000
속초가,코다리찜 (대),45000
늘푸른목장 건대점,경주갈비살 (국내산 한우 100g),18000
늘푸른목장 건대점,육회 (국내한 한우 / 200g),25000
늘푸른목장 건대점,된장찌개,5000
늘푸른목장 건대점,공기밥,1000
늘푸른목장 건대점,된장밥,6000
늘푸른목장 건대점,물냉면,6000
늘푸른목장 건대점,비빔냉면,6000
늘푸른목장 건대점,계란찜,4000
스타벅스 아차산역,토피 넛 라떼,5800
스타벅스 아차산역,아이스 토피 넛 라떼,5800
스타벅스 아차산역,토피 넛 프라푸치노,6300
스타벅스 아차산역,토피 넛 콜드 브루,5800
스타벅스 아차산역,핑크 캐모마일 릴렉서,6100
스타벅스 아차산역,아이스 핑크 캐모마일 릴렉서,6100
스타벅스 아차산역,오늘의 커피,3800
스타벅스 아차산역,카푸치노,4600
스타벅스 아차산역,카페 라떼,4600
스타벅스 아차산역,카페 모카,5100
스타벅스 아차산역,카페 아메리카노,4100
스타벅스 아차산역,카라멜 마키아또,5600
스타벅스 아차산역,화이트 초콜릿 모카,5600
스타벅스 아차산역,스타벅스 돌체 라떼,5600
스타벅스 아차산역,자바 칩 프라푸치노,6100
스타벅스 아차산역,망고 바나나 블렌디드,6300
스타벅스 아차산역,아이스 자몽 허니 블랙 티,5300
스타벅스 아차산역,자몽 허니 블랙 티,5300
스타벅스 아차산역,콜드 브루,4500
스타벅스 아차산역,디카페인 카페 아메리카노,4400
스타벅스 아차산역,디카페인 카페 라떼,4900
스타벅스 아차산역,제주 유기농 말차로 만든 라떼,6100
스타벅스 아차산역,돌체 콜드 브루,5800
고베규카츠 건대점,부채살 규카츠 정식(소) 160g,15000
고베규카츠 건대점,눈꽃치즈카츠정식,18000
고베규카츠 건대점,스테이크흑미덮밥,12000
고베규카츠 건대점,커리크림우동,12000
고베규카츠 건대점,불닭크림볶음면,13000
알고,혼술 소세지,7000
알고,알세지 plate,15900
알고,갓도그 set,8000
알고,커리 부어스트,13900
알고,뱅어느&매쉬,13900
알고,푸틴,14900
알고,주호식 마크니커리&소세지 스튜,15500
알고,콜드컷 plate,14900
알고,닭강정,13900
알고,트러플 감자튀김,9500
알고,풀드포크 프라이즈,13900
알고,칠리치즈 프라이즈,12900
이자와 건대점,규카츠 정식,13000
이자와 건대점,규카츠 더블 정식,22000
이자와 건대점,규카츠 카레 정식,15000
이자와 건대점,스테키동 정식,11000
이자와 건대점,돈토로동 정식,9500
커피베리,아메리카노,4500
커피베리,카페라떼,5500
커피베리,카푸치노,5500
커피베리,바닐라라떼,5500
커피베리,카라멜 마끼아또,5500
커피베리,연유라떼,5500
커피베리,페퍼민트,4500
커피베리,캐모마일,4500
커피베리,히비스커스&로즈힙,5000
커피베리,국화차,4500
커피베리,대추차,4500
커피베리,유자차,4500
커피베리,자몽티,4500
커피베리,딸기 스무디,6500
커피베리,아이스티,4500
커피베리,밀크코코아,5000
커피베리,녹차라떼,5500
커피베리,에이드(레몬.자몽/청포도),6000
커피베리,크로플,4000
커피베리,핫도그,6000
커피베리,카야토스트&아메리카노 set,6500
커피베리,눈꽃빙수(소),7000
커피베리,눈꽃빙수(대),11000
착한돈까스,가정식백반,5500
착한돈까스,돈까스+백반,6500
드로잉레시피,갈릭쉬림프,18000
드로잉레시피,게토서울 9인치,12500
드로잉레시피,게토뉴욕 9인치,13500
드로잉레시피,수비드 채끝 스테이크,36000
드로잉레시피,수비드 립아이 스테이크,42000
금하,팔진탕면,11000
금하,삼선자장면,8000
금하,자연송이 쇠고기덮밥,19000
금하,동파육 (SMALL),32000
금하,금하특선냉채 (SMALL),50000
주꾸미,2인 세트메뉴1,31000
주꾸미,철판쭈꾸미,11000
주꾸미,쭈.삼 (겹살),12000
주꾸미,쭈.닭 (갈비),12000
주꾸미,쭈.새 (우),12000
야키토리광,모듬꼬치 (7종),19000
야키토리광,살치살듀타다끼,20000
야키토리광,세세리탕수육,18000
야키토리광,숯불메로소금구이,22000
야키토리광,시샤모구이,12000
용문집,치마살(150g),16000
용문집,제비추리(150g),16000
용문집,막창모듬(150g),16000
용문집,돼지갈비(200g),13000
용문집,생오겹살(200g),14000
화양양꼬치,양꼬치 (10꼬치),13000
화양양꼬치,양갈비살 (10꼬치),14000
화양양꼬치,꿔보러우,16000
화양양꼬치,가지볶음,14000
화양양꼬치,옥수수온면,7000
꼴목포차,제주갈비찜,12000
꼴목포차,대창순두부,17000
꼴목포차,통문어 (소),17000
꼴목포차,벌교꼬막,15000
꼴목포차,제주삼치구이,15000
빛나는바다 군자역점,오징어 통수육,25000
빛나는바다 군자역점,시사모구이,12000
빛나는바다 군자역점,생우럭구이,17000
빛나는바다 군자역점,새우튀김,10000
빛나는바다 군자역점,문어숙회,25000
군자생고기,갈비탕,12000
군자생고기,한우등심 (500g),75000
군자생고기,갈비살 (500g),85000
군자생고기,생삼겹 (600g),30000
군자생고기,생목살 (600g),30000
칼레오 커피로스터스,에스프레소,3500
칼레오 커피로스터스,아메리카노,3500
칼레오 커피로스터스,콜드브루,3500
칼레오 커피로스터스,플랫화이트,3800
칼레오 커피로스터스,바닐라플랫화이트,4000
칼레오 커피로스터스,카푸치노,4000
칼레오 커피로스터스,카페라떼,4000
가마로,1+한돈 생삼겹살(180g),14000
가마로,1+한돈 꼬들살(180g),14000
가마로,남도전통묵은지+1+한돈 생삼겹살(180g),15500
가마로,남도전통묵은지+1+한돈 꽃목살(180g),15500
가마로,1+한돈 가브리살(150g),15000
땅코참숯구이 구의점,목살 (1인분),15000
땅코참숯구이 구의점,삼겹살 (1인분),15000
땅코참숯구이 구의점,갈매기살 (1인분),15000
애슐리퀸즈 강변점,성인 샐러드바 평일 런치,15900
애슐리퀸즈 강변점,성인 샐러드바 평일 디너,22900
애슐리퀸즈 강변점,성인 샐러드바 주말/ 공휴일,25900
애슐리퀸즈 강변점,초등학생 샐러드바,12900
애슐리퀸즈 강변점,미취학아동 샐러드바,7900
케익다방,에스프레소,4000
케익다방,아메리카노,4000
케익다방,카페라떼,4300
케익다방,자몽티,4500
케익다방,오리둥둥케익,6900
스타벅스 광나루,토피 넛 라떼,5800
스타벅스 광나루,아이스 토피 넛 라떼,5800
스타벅스 광나루,토피 넛 프라푸치노,6300
스타벅스 광나루,토피 넛 콜드 브루,5800
스타벅스 광나루,핑크 캐모마일 릴렉서,6100
스타벅스 광나루,아이스 핑크 캐모마일 릴렉서,6100
스타벅스 광나루,오늘의 커피,3800
스타벅스 광나루,카푸치노,4600
스타벅스 광나루,카페 라떼,4600
스타벅스 광나루,카페 모카,5100
스타벅스 광나루,카페 아메리카노,4100
스타벅스 광나루,카라멜 마키아또,5600
스타벅스 광나루,화이트 초콜릿 모카,5600
스타벅스 광나루,스타벅스 돌체 라떼,5600
스타벅스 광나루,자바 칩 프라푸치노,6100
스타벅스 광나루,망고 바나나 블렌디드,6300
스타벅스 광나루,아이스 자몽 허니 블랙 티,5300
스타벅스 광나루,자몽 허니 블랙 티,5300
스타벅스 광나루,콜드 브루,4500
스타벅스 광나루,디카페인 카페 아메리카노,4400
스타벅스 광나루,디카페인 카페 라떼,4900
스타벅스 광나루,제주 유기농 말차로 만든 라떼,6100
스타벅스 광나루,돌체 콜드 브루,5800
메호르,와규 보섭살 스테이크 (200g),35000
메호르,수비드 이베리코 등심 스테이크 (400g),25000
메호르,뽈뽀,20000
메호르,씨푸드 스튜,22000
메호르,등갈비 플레터,28000
춘천집,명품닭갈비,11000
춘천집,마늘닭갈비,12500
춘천집,치즈닭갈비,12500
춘천집,느타리닭갈비,12500
춘천집,낙지닭갈비,19000
군자닭갈비,군자 닭갈비,12000
군자닭갈비,치즈 닭갈비,13000
군자닭갈비,치즈떡갈비,13000
군자닭갈비,닭내장,12000
군자닭갈비,막국수,7000
원조남원추어탕숙회,통추어탕(1인분),12000
원조남원추어탕숙회,추어탕(1인분),10000
원조남원추어탕숙회,추어튀김(소),10000
원조남원추어탕숙회,추어튀김(중),20000
원조남원추어탕숙회,돈까스,11000
금비,옛날짜장면,5000
금비,새우볶음밥,6500
금비,잡채밥,7000
금비,고추잡채밥,8000
금비,군만두,4500
금비,레몬탕수육(소),13000
금비,레몬탕수육(중),19000
금비,레몬탕수육(대),25000
금비,사천탕수육(소),14000
금비,사천탕수육(중),20000
제주뜰갈치전문점,고등어구이,7000
제주뜰갈치전문점,삼치구이,7000
제주뜰갈치전문점,명태조림 (2인이상),7000
제주뜰갈치전문점,고등어조림,8000
제주뜰갈치전문점,갈치/고등어반반조림,9000
대포집,문어보쌈,35000
대포집,부산어묵탕,17000
대포집,보쌈,24000
대포집,꼬막 (보통),20000
대포집,치즈불고기파전,19000
대포집,홍어삼합,35000
새맛식당,순두부찌개,5000
새맛식당,김치찌개,5000
새맛식당,청국장,5000
새맛식당,떡만두국,5000
새맛식당,비빔밥,5000
태천면옥,평양냉면,10000
태천면옥,비빔냉면,10000
태천면옥,접시만두(반접시),5000
태천면옥,만두국,9000
태천면옥,수육(한우),29000
얼땅쟈,모든탕,12000
용용선생 건대점,고추바삭 유림기,18900
용용선생 건대점,누룽지 탕수육,15900
용용선생 건대점,시추안 탕수육,17900
용용선생 건대점,마라샹궈,17900
용용선생 건대점,우삼겹 마라전골,18900
역전할머니맥주 군자역점,양념감자튀김,6000
역전할머니맥주 군자역점,불꽃오징어,9000
역전할머니맥주 군자역점,순살치킨,7000
역전할머니맥주 군자역점,고추바삭왕태튀김,8000
역전할머니맥주 군자역점,왕새우튀김&볼,6000
향미숯불양꼬치,양고급갈비 (3개),24000
향미숯불양꼬치,양고급등갈비 (6개),15000
향미숯불양꼬치,양꼬치 (10개),12000
향미숯불양꼬치,양갈비살 (10개),13000
향미숯불양꼬치,오돌뼈 (10개),12000
사대분식,야채떡볶이,5000
사대분식,잔치국수,5000
사대분식,쫄면,6000
사대분식,순두부찌개,6000
사대분식,비빔밥,6000
사대분식,야채떡볶이,5000
사대분식,칼국수,5000
사대분식,잔치국수,5000
사대분식,쫄볶이,6000
사대분식,쫄면,6000
싸다김밥,돈까스카레덮밥,7500
싸다김밥,돈까스,7000
싸다김밥,국물떡볶이,4500
싸다김밥,모듬왕만두,4500
싸다김밥,싸다김밥,2000
싸다김밥,참치김밥,3500
크레파스분식,피자떡볶이,
크레파스분식,즉석떡볶이,
크레파스분식,카레떡볶이,
크레파스분식,쫄면,
크레파스분식,라면,
광나루순대,오향족발 (중),27000
광나루순대,족발직화구이 (중),29000
광나루순대,수육 (중),12000
광나루순대,막창구이 (200g),11000
광나루순대,양념막창구이 (200g),12000
가마솥도가니탕 장수옥,설렁탕,10000
가마솥도가니탕 장수옥,갈비탕,13000
가마솥도가니탕 장수옥,내장곰탕,15000
가마솥도가니탕 장수옥,모듬수육(소),40000
가마솥도가니탕 장수옥,수제만두,6000
장터참숯무한리필 중곡동점,무한리필,13900
장터참숯무한리필 중곡동점,특왕갈비,7900
장터참숯무한리필 중곡동점,스테이크갈비,7900
장터참숯무한리필 중곡동점,껍데기,7900
장터참숯무한리필 중곡동점,물냉면,5000
바다생각,광어 (대),38000
바다생각,광어 (중),28000
바다생각,광어 (소),20000
바다생각,우럭,30000
바다생각,도다리 세꼬시,30000
바다생각,생우럭탕,30000
바다생각,해삼,20000
바다생각,멍게,20000
바다생각,개불,20000
바다생각,새우구이,12000
바다생각,알탕,12000
바다생각,초밥,12000
바다생각,매운탕,5000
바다생각,참돔,변동가격
바다생각,농어,변동가격
바다생각,산낙지,변동가격
우리콩밭손두부,모두부,5000
우리콩밭손두부,순두부,3000
우리콩밭손두부,해물순두부,6000
우리콩밭손두부,된장찌개,6000
우리콩밭손두부,해물부추전,10000
바다회포차,광어,28000
바다회포차,우럭,30000
바다회포차,새우구이(12P),15000
바다회포차,생우럭탕,20000
바다회포차,회덮밥,7000
짚신매운갈비찜 건대점,돼지갈비찜 (1인분),12000
짚신매운갈비찜 건대점,소갈비찜 (1인분),16000
짚신매운갈비찜 건대점,순두부탕,4000
짚신매운갈비찜 건대점,계란찜,4000
곽홍백외식연구소 중곡점,수제돼지갈비,
곽홍백외식연구소 중곡점,삼겹살,
곽홍백외식연구소 중곡점,이베리코목살,
곽홍백외식연구소 중곡점,생갈매기살,
곽홍백외식연구소 중곡점,숯불돼지불고기,
카페원룸,아메리카노,3000
카페원룸,카페라떼,4500
카페원룸,바닐라 라떼,4700
카페원룸,국내산 유기농 미숫가루,5000
카페원룸,원룸 밀크티,5000
더빈마켓 중곡점,아메리카노 콩1,3500
더빈마켓 중곡점,카페라떼,4300
더빈마켓 중곡점,시나몬 사이공 라떼,4800
더빈마켓 중곡점,고흥 무농약 햇유자차,4800
더빈마켓 중곡점,고흥 무농약 햇유자 그린티,4800
서소문순두부보쌈,서소문순두부,8000
서소문순두부보쌈,옛날할머니순두부,8000
서소문순두부보쌈,콩비지찌개,8000
서소문순두부보쌈,특스페셜보쌈,70000
서소문순두부보쌈,두부김치,35000
아날로그키친 건대점,달콤 짭쪼롬한 불고기 오일파스타,16000
아날로그키친 건대점,할라피뇨와 탱글탱글 새우 오일 파스타,17000
아날로그키친 건대점,촉촉한 빵속에 빠진 새우 크림 파스타,19000
아날로그키친 건대점,철인 파프리카와 토실토실한 토시살 스테이크,19000
아날로그키친 건대점,특제간장소스에 구운 통오징어구이밥,15000
오봉집 건대점,오봉낙지보쌈,45000
오봉집 건대점,오봉보쌈 소,27000
오봉집 건대점,직화낙지볶음,12000
오봉집 건대점,보쌈정식,9000
섬진강민물장어,장어정식 (점심특선),21000
섬진강민물장어,특대한마리 (활장어500g),42000
섬진강민물장어,특대반마리,21000
섬진강민물장어,웰빙장어탕,10000
섬진강민물장어,장어덮밥 (점심특선),15000
피읖 제페니즈다이닝,도다리사시미,15000
피읖 제페니즈다이닝,생물청어구이,10000
피읖 제페니즈다이닝,왕새우튀김,15000
피읖 제페니즈다이닝,아구수육,15000
피읖 제페니즈다이닝,메로스테이크,20000
플레이독스,카누아메리카노,1500
플레이독스,카누라떼,2500
플레이독스,레몬에이드,2000
플레이독스,복숭아아이스티,1500
플레이독스,델몬트 망고 주스,1500
자가제빵 선명희피자 구의점,바싹불고기피자,16000
자가제빵 선명희피자 구의점,옛날갈비피자,19000
자가제빵 선명희피자 구의점,베이컨불고기피자,17000
자가제빵 선명희피자 구의점,쉬림프피자,20000
자가제빵 선명희피자 구의점,베이컨포테이토피자,17000
자가제빵 선명희피자 구의점,베이컨소세지피자,17000
자가제빵 선명희피자 구의점,베이컨할라피뇨피자,17000
자가제빵 선명희피자 구의점,소불고기피자,15000
자가제빵 선명희피자 구의점,콤비네이션피자,15000
자가제빵 선명희피자 구의점,고구마무스피자,15000
자가제빵 선명희피자 구의점,페퍼로니피자,15000
자가제빵 선명희피자 구의점,모짜렐라치즈피자,15000
자가제빵 선명희피자 구의점,핫불고기피자,16000
자가제빵 선명희피자 구의점,불닭피자,17000
자가제빵 선명희피자 구의점,바베큐치킨피자,15000
자가제빵 선명희피자 구의점,파인애플피자,15000
자가제빵 선명희피자 구의점,베이컨피자,15000
자가제빵 선명희피자 구의점,콘치즈피자,15000
자가제빵 선명희피자 구의점,고르곤졸라피자,15000
자가제빵 선명희피자 구의점,포테이토피자,15000
자가제빵 선명희피자 구의점,고추불고기피자,16000
자가제빵 선명희피자 구의점,달콤불고기피자,16000
자가제빵 선명희피자 구의점,야채피자,15000
자가제빵 선명희피자 구의점,반반한피자,17000
자가제빵 선명희피자 구의점,핫베이컨할라피뇨피자,19000
자가제빵 선명희피자 구의점,딥치즈베이컨피자,22000
자가제빵 선명희피자 구의점,포테이토베이컨골드피자,21000
자가제빵 선명희피자 구의점,리치골드크러스트피자,19000
자가제빵 선명희피자 구의점,치즈바이트피자,21000
자가제빵 선명희피자 구의점,쉬림프골드피자,24000
자가제빵 선명희피자 구의점,스페셜콤비네이션피자,19000
자가제빵 선명희피자 구의점,골드크러스트피자,19000
자가제빵 선명희피자 구의점,Home 1 SET,21000
자가제빵 선명희피자 구의점,Home 2 SET,22000
자가제빵 선명희피자 구의점,Home 3 SET,26000
자가제빵 선명희피자 구의점,오리지날피자M 2판,26000
자가제빵 선명희피자 구의점,오리지날피자L 2판,31000
자가제빵 선명희피자 구의점,오리지날피자L 3판,48000
자가제빵 선명희피자 구의점,치즈크러스트 2판,32000
자가제빵 선명희피자 구의점,체다크러스트 2판,30000
자가제빵 선명희피자 구의점,리치골드크러스트 2판,34000
자가제빵 선명희피자 구의점,골드크러스트 2판,34000
자가제빵 선명희피자 구의점,치즈오븐스파게티,6000
자가제빵 선명희피자 구의점,베이컨치즈오븐스파게티,7000
자가제빵 선명희피자 구의점,불고기오븐스파게티,7000
자가제빵 선명희피자 구의점,새우리조또,7000
자가제빵 선명희피자 구의점,크림스파게티,7500
자가제빵 선명희피자 구의점,훈제치킨 한마리,13000
자가제빵 선명희피자 구의점,핫윙7조각,6000
자가제빵 선명희피자 구의점,치킨텐더7조각,6000
자가제빵 선명희피자 구의점,피클40g,400
자가제빵 선명희피자 구의점,핫소스4g,100
자가제빵 선명희피자 구의점,치즈가루4g,200
자가제빵 선명희피자 구의점,갈릭디핑소스20g,300
자가제빵 선명희피자 구의점,수제갈릭소스40g,600
자가제빵 선명희피자 구의점,생와사비3g,300
자가제빵 선명희피자 구의점,코카콜라,1500
자가제빵 선명희피자 구의점,스프라이트,1500
자가제빵 선명희피자 구의점,환타355ml,1500
자가제빵 선명희피자 구의점,꿀40g,1000
자가제빵 선명희피자 구의점,매운맛소스40g,1000
자가제빵 선명희피자 구의점,할라피뇨40g,500
자가제빵 선명희피자 구의점,썬고추80g,500
자가제빵 선명희피자 구의점,바싹불고기피자,16000
자가제빵 선명희피자 구의점,직화매운갈비피자,18000
자가제빵 선명희피자 구의점,베이컨포테이토피자,17000
자가제빵 선명희피자 구의점,페페로니피자,15000
자가제빵 선명희피자 구의점,쉬림프피자,20000
자가제빵 선명희피자 구의점,콤비네이션피자,15000
자가제빵 선명희피자 구의점,고구마무스피자,15000
자가제빵 선명희피자 구의점,베이컨할라피뇨피자,17000
자가제빵 선명희피자 구의점,소불고기피자,15000
자가제빵 선명희피자 구의점,모짜렐라치즈피자,15000
자가제빵 선명희피자 구의점,베이컨피자,15000
자가제빵 선명희피자 구의점,파인애플피자,15000
자가제빵 선명희피자 구의점,포테이토피자,15000
자가제빵 선명희피자 구의점,콘치즈피자,15000
자가제빵 선명희피자 구의점,베이컨소세지피자,17000
자가제빵 선명희피자 구의점,고르곤졸라피자,15000
자가제빵 선명희피자 구의점,바베큐치킨피자,15000
자가제빵 선명희피자 구의점,베이컨불고기피자,17000
자가제빵 선명희피자 구의점,옛날갈비피자,19000
자가제빵 선명희피자 구의점,달콤불고기피자,16000
자가제빵 선명희피자 구의점,고추불고기피자,15900
자가제빵 선명희피자 구의점,핫불고기피자,16000
자가제빵 선명희피자 구의점,불닭피자,17000
자가제빵 선명희피자 구의점,야채피자,15000
자가제빵 선명희피자 구의점,딥치즈베이컨피자,22000
자가제빵 선명희피자 구의점,포테이토베이컨골드피자,21000
자가제빵 선명희피자 구의점,치즈바이트피자,21000
자가제빵 선명희피자 구의점,쉬림프골드피자,24000
자가제빵 선명희피자 구의점,스페셜페퍼로니피자,19000
자가제빵 선명희피자 구의점,스페셜콤비네이션피자,19000
자가제빵 선명희피자 구의점,반반한피자,17000
자가제빵 선명희피자 구의점,Home 1Set/오리지날M,21000
자가제빵 선명희피자 구의점,Home 2Set/오리지널M,22000
자가제빵 선명희피자 구의점,Home 3Set/오리지날m,26000
자가제빵 선명희피자 구의점,오리지날 M 2판,26000
자가제빵 선명희피자 구의점,오리지날 피자L 2판,31000
자가제빵 선명희피자 구의점,오리지날 피자L 3판,48000
자가제빵 선명희피자 구의점,치즈오븐스파게티,6000
자가제빵 선명희피자 구의점,베이컨오븐스파게티,7000
자가제빵 선명희피자 구의점,불고기오븐스파게티,7000
자가제빵 선명희피자 구의점,크림오븐스파게티,7500
자가제빵 선명희피자 구의점,훈제치킨,13000
자가제빵 선명희피자 구의점,핫윙(7조각),6000
자가제빵 선명희피자 구의점,치킨덴더(수제갈릭소스제공),6000
자가제빵 선명희피자 구의점,수제갈릭소스(40g),600
자가제빵 선명희피자 구의점,피클(40g),400
자가제빵 선명희피자 구의점,핫소스(4g),100
자가제빵 선명희피자 구의점,할라피뇨(40g),500
자가제빵 선명희피자 구의점,치즈가루(4g),200
자가제빵 선명희피자 구의점,매운맛 소스(40g),1000
자가제빵 선명희피자 구의점,생와사비(3g),300
자가제빵 선명희피자 구의점,코카콜라,1500
자가제빵 선명희피자 구의점,스프라이트,1500
자가제빵 선명희피자 구의점,환타 355ML,1500
자가제빵 선명희피자 구의점,꿀(40g),1000
개미집1,불낙볶음 (특),45000
개미집1,불낙볶음 (중),33000
개미집1,불낙볶음 (소),23000
호호닭발포차,국물닭발,18000
호호닭발포차,닭발 (1인분),8000
호호닭발포차,뼈없는닭발,17000
호호닭발포차,오돌밥,16000
호호닭발포차,불닭,15000
호호닭발포차,치즈불닭,16000
호호닭발포차,국물떡볶이,16000
호호닭발포차,모듬튀김,17000
무교동유정낙지 구의점,낙지볶음(2인분),24000
무교동유정낙지 구의점,낙지손만두,5000
무교동유정낙지 구의점,낙지파전,10000
무교동유정낙지 구의점,산낙지전골,35000
무교동유정낙지 구의점,생굴,10000
무교동유정낙지 구의점,어린이용낙지(2인분),20000
무교동유정낙지 구의점,연포탕,50000
무교동유정낙지 구의점,조개탕,10000
무교동유정낙지 구의점,산낙지,
산쪼메 구의점,돈코츠라멘,7500
산쪼메 구의점,산쪼메라멘,8000
산쪼메 구의점,시오버터라멘,7500
산쪼메 구의점,쇼유라멘,7500
산쪼메 구의점,츠케멘,8000
능동샐러드,아보카도 샐러드,11000
능동샐러드,리코타 샐러드,11000
능동샐러드,쉬림프 샐러드,10000
능동샐러드,팟타이 샐러드,9000
능동샐러드,스파이시 치킨 샐러드,9000
능동샐러드,퀴노아 샐러드,8500
도리도리닭도리,국물닭도리탕 (한 마리),25000
도리도리닭도리,찜닭(한 마리),25000
도리도리닭도리,닭 한마리 (한 마리),25000
도리도리닭도리,치즈계란말이,8000
도리도리닭도리,국물닭도리탕(반 마리),15000
