식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
셀프하우스 마늘떡볶이,떡볶이,2.8,서울 강동구 고덕로10길 62,화~일 10:00 ~ 21:00,02-473-4322,4
유미마라탕,중화요리,3.2,서울 강동구 천호옛길 90,매일 11:00 ~ 23:00,,19
막창도둑 올림픽공원점,곱창/막창,5.0,서울 강동구 양재대로85길 28,영업시간 매일 16:00 ~ 02:00,02-484-9879,3
하나참치,참치회,3.8,서울 강동구 구천면로47길 82,영업시간 매일 15:00 ~ 02:00,02-427-0507,9
오박사네 돈까스전문점,돈까스/우동,3.7,서울 강동구 양재대로 1335,화~일 10:30 ~ 22:00,02-489-5844,15
써브웨이 상일동점,샌드위치,5.0,서울 강동구 상일로6길 21 1층,매일 08:00 ~ 23:00,070-8800-0217,2
별곱창이야기 길동점,곱창/막창,4.6,서울 강동구 진황도로 99,영업시간 매일 17:00 ~ 03:00,02-472-0903,16
빈터커피로스터스 길동점,카페,4.3,서울 강동구 양재대로115길 10 101호,화~토 09:00 ~ 21:00,010-6669-6609,17
명륜진사갈비 서울암사점,갈비,4.3,서울 강동구 올림픽로98길 30 탑스빌딩 1층,매일 12:00 ~ 23:00,02-429-2232,12
낸시스,제과/베이커리,4.9,서울 강동구 동남로75길 13-21 신동빌딩 101호,월~토 11:00 ~ 20:00,02-481-0767,7
천호명가돈까스,돈까스/우동,3.4,서울 강동구 올림픽로77길 12 1층,매일 10:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 16:00,02-483-8311,12
도미넌트,카페,4.0,서울 강동구 양재대로83길 14,월~금 10:00 ~ 23:00,,5
금강산감자탕,감자탕,3.2,서울 강동구 올림픽로 804,매일 00:00 ~ 24:00,02-481-3398,5
장원보쌈족발,족발/보쌈,3.1,서울 강동구 구천면로 196 102호,매일 12:00 ~ 02:00,02-470-8555,10
명불허전원조골뱅이 명일점,해물/생선,4.0,서울 강동구 양재대로145길 6 1층,영업시간 월~토 17:00 ~ 04:00,02-3426-9995,6
미양가,중식,4.8,서울 강동구 풍성로56길 46 1층 101호,영업시간 월~토 15:00 ~ 23:00,02-477-5792,5
틈새라면 천호점,분식,4.5,서울 강동구 천호대로157길 6,매일 10:00 ~ 21:00,02-483-1608,16
소문난쭈꾸미,해물/생선,4.0,서울 강동구 천호대로158길 11,매일 10:00 ~ 02:00,02-486-6587,7
목우촌미소와돈 강동구청점,육류/고기,4.1,서울 강동구 성내로6길 14-22,매일 11:00 ~ 24:00,02-415-8592,10
미식미객,중화요리,5.0,서울 강동구 성안로 167,월/화/수/목/금/일 11:30 ~ 22:30 · 브레이크타임 월/화/수/목/금/일 15:00 ~ 16:00,02-476-7888,4
대패꽃필무렵 강동점,삼겹살,4.5,서울 강동구 양재대로 1610,매일 11:00 ~ 23:00,02-428-1939,2
임가네뒷고기,육류/고기,4.5,서울 강동구 양재대로103길 12 1층,영업시간 매일 17:00 ~ 24:00,02-488-2660,8
송화의카페,카페,4.0,서울 강동구 상일로3길 8,월~금 12:00 ~ 21:00,02-426-4919,3
장터순대국,순대,3.4,서울 강동구 양재대로 1453,,02-472-5959,10
팔오수산,회,4.0,서울 강동구 상암로 22 1층,영업시간 월~토 14:00 ~ 02:00,02-3426-8585,1
스타벅스 천호사거리,커피전문점,4.3,서울 강동구 올림픽로 651,월~금 07:30 ~ 20:00,1522-3232,7
조게찜터,조개,4.1,서울 강동구 고덕로10길 11 1층,영업시간 매일 16:00 ~ 24:00,02-481-9898,7
도미노피자 길동점,피자,4.0,서울 강동구 천중로 200,매일 11:00 ~ 22:00,02-3426-0454,1
도원한우,육류/고기,5.0,서울 강동구 진황도로 227,,02-430-7226,1
도미노피자 둔촌점,피자,1.6,서울 강동구 풍성로 186,매일 11:00 ~ 22:00,02-478-0337,5
1943 천호점,호프/요리주점,3.7,서울 강동구 천호대로157길 37 수정상가 2층,,010-8121-1943,3
오가네,육류/고기,4.8,서울 강동구 천호대로155길 15,매일 10:00 ~ 24:00,,6
부산아지매국밥&구포갈비 명일역점,국밥,4.4,서울 강동구 양재대로143길 6 1층,월~토 00:00 ~ 24:00,02-428-9882,10
수줍은삼계탕 상일점,삼계탕,4.0,서울 강동구 상일로5길 8-3,월~금 11:00 ~ 21:00,02-429-9903,8
채선당 올림픽공원점,샤브샤브,2.6,서울 강동구 강동대로 143-22,매일 11:00 ~ 22:00,02-484-4759,10
쁘띠크로와상,제과/베이커리,4.3,서울 강동구 양재대로89길 36 1층,매일 09:00 ~ 21:00,02-6014-8782,4
마부마라탕,중화요리,4.2,서울 강동구 천호대로158길 18 1층,,02-488-1289,10
두끼떡볶이 천호로데오점,떡볶이,3.2,서울 강동구 올림픽로70길 50 2층,매일 11:00 ~ 22:00,02-474-2771,13
방가네남원추어탕,추어,4.0,서울 강동구 올림픽로 690,매일 00:00 ~ 24:00,02-485-1046,2
지호한방삼계탕 암사점,닭요리,2.5,서울 강동구 올림픽로 813,매일 11:00 ~ 22:00,02-441-3318,6
아웃백 강동점,패밀리레스토랑,0.0,서울 강동구 상암로 126,,02-487-2673,0
어매집,사철탕/영양탕,4.6,서울 강동구 양재대로 1405,매일 10:00 ~ 22:00,02-472-0360,5
단골숯불갈비,갈비,5.0,서울 강동구 진황도로47길 61,,02-485-2010,4
전광수커피하우스 강동점,카페,3.3,서울 강동구 천호대로 1186 원경빌딩 1층,매일 08:00 ~ 24:00,02-485-7511,3
박대박조개찜 천호점,조개,4.5,서울 강동구 천호대로159길 37,영업시간 매일 16:00 ~ 02:00,02-486-1155,8
수향보쌈칼국수,족발/보쌈,4.4,서울 강동구 풍성로37가길 5,월/화/수/목/금/일 09:00 ~ 22:00,02-478-8308,12
광진교집,한정식,5.0,서울 강동구 올림픽로77길 13,영업시간 매일 14:00 ~ 24:00,02-470-9294,1
돌판위에곱창,곱창/막창,4.8,서울 강동구 구천면로41길 14 1층,영업시간 매일 16:00 ~ 24:00,010-9797-4320,4
이차돌 강동구청점,육류/고기,2.4,서울 강동구 성내로6길 14 1층,매일 11:30 ~ 23:00,02-974-0888,10
대삼박이,삼겹살,3.5,서울 강동구 천호옛14길 34 1층,매일 11:30 ~ 01:00,02-487-8579,2
라무진 길동점,육류/고기,5.0,서울 강동구 진황도로 99 110호,영업시간 월~토 17:00 ~ 22:00,02-6397-7299,3
블루문,호프/요리주점,4.2,서울 강동구 올림픽로70길 51-7,,02-478-6102,5
무교동홍낙 올림픽공원점,해물/생선,3.6,서울 강동구 강동대로 189,,02-486-7200,5
인조이더주스,샌드위치,4.3,서울 강동구 양재대로89길 17,월/화/수/목/금/일 10:00 ~ 21:00,,4
명륜진사갈비 서울명일점,갈비,1.9,서울 강동구 양재대로 1597 1층,매일 11:30 ~ 22:30,02-473-0919,7
진도아리랑,해물/생선,3.8,서울 강동구 양재대로110길 7,월~토 11:00 ~ 22:00,02-473-0304,4
마데린,카페,4.1,서울 강동구 올림픽로 654-15 1~3층,매일 08:00 ~ 23:00,,14
일미리금계찜닭 천호점,닭요리,4.2,서울 강동구 천호옛길 84 2층,월~토 11:00 ~ 23:00,02-482-0802,5
오븐베이크,제과/베이커리,4.3,서울 강동구 고덕로10길 43-3,월/화요일,02-6404-5823,8
닭발부부,닭요리,5.0,서울 강동구 천중로17길 55,영업시간 월~토 17:00 ~ 24:00,02-473-2042,3
와,카페,4.5,서울 강동구 양재대로81길 61,,,19
동구밖코다리찜,해물/생선,3.8,서울 강동구 풍성로 309,화~일 11:30 ~ 22:00,02-485-9585,8
바로한국수,국수,4.8,서울 강동구 동남로 638,매일 11:00 ~ 21:00,02-470-8545,43
다래함박스텍,돈까스/우동,4.2,서울 강북구 수유로 20-2,화~일 10:00 ~ 21:00 · 점심시간 화~일 15:00 ~ 16:00,02-2241-7558,57
대보명가 서울본점,한식,3.5,서울 강북구 4.19로 69,매일 11:00 ~ 21:00,02-907-6998,34
엘림들깨수제비칼국수,국수,4.3,서울 강북구 삼각산로 67,월~토 11:30 ~ 21:30 · 브레이크타임1 월~금 15:40 ~ 16:30,02-996-2583,67
진호횟집,회,3.8,서울 강북구 도봉로98길 33 1층,,02-902-9915,48
카페어니언 미아점,카페,4.3,서울 강북구 솔매로50길 55 1층,매일 10:00 ~ 22:00,070-7816-2714,39
대가집,감자탕,3.8,서울 강북구 한천로 1158,매일 10:00 ~ 24:00,02-914-9428,12
장수마늘보쌈,족발/보쌈,4.3,서울 강북구 덕릉로 192,화~일 11:00 ~ 23:00,02-997-6155,38
황주집,곱창/막창,3.3,서울 강북구 도봉로 372,매일 12:00 ~ 24:00,02-903-6275,49
스시노칸도 수유점,초밥/롤,3.5,서울 강북구 한천로139나길 1 3층,매일 11:30 ~ 22:00,02-997-5949,30
대광어회집,회,3.7,서울 강북구 노해로 31,영업시간 매일 16:00 ~ 04:00,02-903-6789,19
산성골,육류/고기,3.1,서울 강북구 덕릉로 126,매일 10:00 ~ 23:00,02-989-7341,14
샘터마루,한식,4.3,서울 강북구 4.19로12길 35 지하1층/ 1층,매일 06:30 ~ 20:00,02-902-6456,24
제일분식,분식,2.5,서울 강북구 도봉로 45 숭인시장,월~금 10:00 ~ 22:00,02-985-7333,36
경계선,커피전문점,4.4,서울 강북구 삼각산로 22-7,매일 11:00 ~ 19:00,010-3957-7341,23
미즐카페엠,카페,2.8,서울 강북구 4.19로 107,매일 10:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30,02-999-5055,26
깃든,육류/고기,4.8,서울 강북구 월계로7나길 46-5,월~토 11:00 ~ 23:00,02-987-1025,12
카페멘디,카페,4.0,서울 강북구 4.19로8길 7-2,화~일 10:00 ~ 22:00,,26
보배반점 미아직영점,중화요리,3.1,서울 강북구 솔샘로 293 1층,매일 11:00 ~ 22:00,,13
무너미,카페,3.1,서울 강북구 노해로8가길 40 1층,매일 12:00 ~ 21:00,,40
화로상회 수유점,고기뷔페,4.4,서울 강북구 한천로140길 22,매일 12:00 ~ 02:00,02-992-9993,7
이설함흥냉면,냉면,2.5,서울 강북구 4.19로 42,매일 10:30 ~ 21:30,02-997-7370,35
착한낙지 수유점,해물/생선,3.8,서울 강북구 4.19로 82,매일 11:00 ~ 23:00,02-905-7963,14
수유손칼국수,국수,3.2,서울 강북구 도봉로101길 45,화 10:30 ~ 15:00,02-905-9949,39
라공방 수유점,중화요리,3.0,서울 강북구 한천로139길 42 영남빌딩 1층,매일 00:00 ~ 24:00,02-998-1011,22
소담촌 수유점,샤브샤브,3.6,서울 강북구 도봉로 388 테마빌딩 8층,매일 11:00 ~ 22:00,02-903-9033,10
소담촌 미아사거리점,샤브샤브,4.6,서울 강북구 월계로 3 덕신빌딩 5층,월~금 11:30 ~ 22:00,02-987-5566,11
동네함박,양식,3.5,서울 강북구 도봉로15길 11 2층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6104-0418,26
원조할매곱창 미아점,곱창/막창,2.7,서울 강북구 월계로3길 68,영업시간 매일 13:00 ~ 06:00,02-989-0878,32
늘봄아갑찜 미아본점,아구,3.1,서울 강북구 도봉로 45 1층,매일 11:00 ~ 22:00,02-988-8014,10
카페산아래,카페,3.0,서울 강북구 삼양로181길 56,월~금 11:30 ~ 21:00,,43
벼랑순대국 본점,순대,4.3,서울 강북구 한천로 924,월~토 11:30 ~ 21:30,02-900-5459,18
옥류헌,한정식,2.1,서울 강북구 삼양로181길 142,매일 11:30 ~ 21:30,02-993-1829,7
짚신매운갈비찜 미아본점,갈비,3.1,서울 강북구 월계로7나길 30-9,매일 12:00 ~ 03:00,02-982-9932,15
백곱식당 수유점,곱창/막창,4.3,서울 강북구 도봉로87길 47,매일 11:30 ~ 05:00,02-908-4414,6
여러분평양냉면,냉면,4.4,서울 강북구 한천로 1074 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-998-5802,28
신매콤터,분식,3.1,서울 강북구 오패산로 412,매일 00:00 ~ 24:00,02-993-9086,14
조연탄 수유점,육류/고기,4.9,서울 강북구 한천로140길 20,영업시간 월~토 14:30 ~ 01:00,02-996-8858,29
할머니해장국,해장국,4.1,서울 강북구 월계로37길 137-6,화~토 06:00 ~ 20:00,02-915-1541,14
한상차림밥상 보문동직영점,한식,2.6,서울 강북구 삼각산로 103 1층,매일 11:00 ~ 22:00,010-6396-8255,10
크을농,한식,3.7,서울 강북구 4.19로 91 1층,매일 11:30 ~ 22:00,02-990-7900,29
토방,한식,4.4,서울 강북구 삼각산로 63,매일 11:00 ~ 21:30,02-904-6800,19
곰보냉면,냉면,2.9,서울 강북구 노해로33길 64,매일 11:00 ~ 21:00,02-908-9300,10
노르웨이안우드,카페,4.0,서울 강북구 인수봉로 314 지하 1층,화/수요일,02-999-3738,24
삼덕식당 미아사거리점,삼겹살,3.5,서울 강북구 월계로7나길 29 1층,매일 11:00 ~ 02:00,02-988-1019,15
잼파파,제과/베이커리,3.2,서울 강북구 한천로 1040,매일 00:00 ~ 24:00,02-900-3332,22
송현초밥,초밥/롤,3.6,서울 강북구 월계로7길 34,매일 11:30 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-985-7669,36
청화가든,곰탕,4.3,서울 강북구 4.19로12길 75,월~금 08:00 ~ 21:00,02-905-2355,12
상미규카츠 수유본점,돈까스/우동,3.5,서울 강북구 도봉로87길 32 1층,매일 11:00 ~ 22:00,02-996-8892,26
리얼파스타 수유점,양식,4.2,서울 강북구 도봉로87길 26-12,매일 11:00 ~ 22:00,0507-1333-0871,14
옛곰탕집,곰탕,4.5,서울 강북구 도봉로71가길 4,월~토 08:00 ~ 20:00,070-8945-8288,11
제이제곱,카페,3.6,서울 강북구 도봉로10나길 17 1층,화~일 12:00 ~ 22:00,010-4883-4249,13
만두향,분식,4.1,서울 강북구 한천로123길 61 1층,월~토 11:00 ~ 21:00,02-992-5280,20
홍익짬뽕 수유직영점,중화요리,3.5,서울 강북구 노해로 33,매일 11:00 ~ 22:00,02-902-9993,23
세인트블랙,양식,3.1,서울 강북구 4.19로 109,화~일 11:00 ~ 23:00,02-991-7004,14
호조참치,참치회,4.0,서울 강북구 한천로 1062,영업시간 매일 16:00 ~ 02:00,02-994-3470,6
상미식당,일식,3.1,서울 강북구 수유로 82,매일 11:30 ~ 21:30,02-900-7575,29
우리콩 순두부,두부전문점,4.1,서울 강북구 삼양로173길 46,매일 09:00 ~ 21:00,02-995-5918,15
우이산장 키토산오리집,오리,2.7,서울 강북구 삼양로181길 141-5,매일 11:00 ~ 22:00,02-999-9119,17
낙지일번지,해물/생선,5.0,서울 강북구 도봉로89길 10 1층,매일 11:30 ~ 23:30,02-907-1017,1
쿠우쿠우 강북구청점,해산물뷔페,2.9,서울 강북구 도봉로 308 북한산스카이빌딩 9층,,02-6956-6275,28
천회초밥,초밥/롤,4.6,서울 강북구 노해로 69 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-6094-7894,23
왕가,육류/고기,2.4,서울 강북구 삼양로 681,매일 11:30 ~ 22:00,02-908-9277,12
분코,일본식주점,3.1,서울 강북구 도봉로87길 34-4,영업시간 월~토 18:00 ~ 02:00,02-907-6451,8
큰두레참숯 국내산무한리필,육류/고기,5.0,서울 강북구 도봉로 284 1층,매일 11:30 ~ 23:00,02-983-9992,11
100년서서갈비 수유본점,갈비,4.2,서울 강북구 덕릉로 108 1층,매일 11:00 ~ 23:00,02-6402-4966,6
릴렉스,카페,4.4,서울 강북구 삼양로181길 142,매일 11:00 ~ 21:30,,15
엄마손기사님식당 수유본점,기사식당,3.9,서울 강북구 한천로 1138,매일 00:00 ~ 24:00,02-999-3684,11
수유리우동집 본점,돈까스/우동,2.7,서울 강북구 덕릉로 98,월~토 10:30 ~ 18:00,02-980-9630,17
양다리걸쳤네,양꼬치,3.0,서울 강북구 노해로8길 16 우암센스뷰 102호,영업시간 매일 15:30 ~ 00:30,02-993-9266,12
메이린,중화요리,2.5,서울 강북구 월계로 173,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,,26
수유리조트,카페,3.5,서울 강북구 노해로8가길 45,월~금 07:00 ~ 24:00,02-990-9882,23
육두막,육류/고기,4.0,서울 강북구 노해로 38,영업시간 매일 16:00 ~ 03:00,02-994-1100,8
에이머그,카페,4.5,서울 강북구 노해로 21 1층,매일 10:00 ~ 23:00,02-6953-2629,6
파조쿠치나 본점,이탈리안,3.6,서울 강북구 인수봉로 239 1층,,070-4129-8640,31
큐브이스케이프 수유점,테마카페,4.3,서울 강북구 도봉로87길 11 2층,영업시간 월~목 14:30 ~ 24:00,02-903-0706,9
붉은대게 수유본점,게/대게,4.3,서울 강북구 노해로 28,매일 12:00 ~ 24:00,02-908-5507,8
호치민쌀국수,베트남음식,3.5,서울 강북구 덕릉로30길 3 1층,매일 11:00 ~ 21:00,070-8822-4882,14
맥도날드 서울번동DT점,패스트푸드,1.7,서울 강북구 월계로 191,매일 07:00 ~ 02:00,070-7209-0531,27
맹박골갈비예찬 미아점,갈비,2.5,서울 강북구 도봉로 156,,02-983-8900,11
애슐리퀸즈 미아사거리역점,패밀리레스토랑,3.1,서울 강북구 도봉로 52 와이스퀘어 5층,매일 11:30 ~ 21:00,02-6415-0041,21
돈킴,감자탕,4.6,서울 강북구 도봉로27길 5 대한빌딩 1층,매일 10:00 ~ 22:00,02-985-1881,12
청산가든,닭요리,3.0,서울 강북구 삼양로181길 56,매일 12:00 ~ 23:00,02-902-6850,6
카페시집,카페,4.2,서울 강북구 솔샘로 301 지하 1층,화~일 10:00 ~ 22:00,,6
수유골목냉면,냉면,4.1,서울 강북구 솔매로45길 92,매일 10:00 ~ 21:30,02-988-6580,15
스타벅스 강북구청사거리점,커피전문점,4.0,서울 강북구 도봉로 365,월~금 08:00 ~ 22:00,1522-3232,24
스시광,초밥/롤,3.4,서울 강북구 도봉로 182 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-945-4949,10
히피스베이글,제과/베이커리,4.1,서울 강북구 삼양로 528,월~금 10:00 ~ 20:00,,15
능이마을,오리,5.0,서울 강북구 솔샘로 330,매일 11:00 ~ 22:00,02-987-5292,3
대머리곱창 본점,곱창/막창,4.2,서울 강북구 숭인로 65-6,매일 04:00 ~ 01:00,02-985-7002,16
어사출또 미아리점,회,2.8,서울 강북구 도봉로6길 50,영업시간 매일 16:00 ~ 02:30,02-989-5114,9
숯불왕갈비돼지,갈비,3.9,서울 강북구 덕릉로 79 1층,화요일,02-904-5533,19
지동닭갈비,닭요리,4.7,서울 강북구 도봉로102길 60-7 1층,매일 11:00 ~ 23:00,02-988-3255,28
역전할머니맥주 수유리점,호프/요리주점,2.8,서울 강북구 한천로140길 18 1층,영업시간 매일 15:00 ~ 05:00,02-900-1982,8
비바서울,이탈리안,3.8,서울 강북구 노해로8가길 49,화요일,,10
미아회관,삼겹살,4.6,서울 강북구 도봉로10가길 15 1층,영업시간 매일 17:00 ~ 03:00,,8
대중만두,분식,4.3,서울 강북구 도봉로10나길 9,매일 11:00 ~ 24:00,02-988-8895,16
청수가든,한식,3.5,서울 강북구 4.19로28길 29,매일 10:00 ~ 21:00,02-992-8242,6
맥도날드 수유점,패스트푸드,3.2,서울 강북구 도봉로 342,매일 00:00 ~ 24:00,070-7017-0336,17
홍가네 가마솥설렁탕,설렁탕,4.1,서울 강북구 한천로 1157,매일 00:00 ~ 24:00,02-990-1777,9
은행골 수유점,초밥/롤,4.4,서울 강북구 한천로139길 10 1층,월~금 11:30 ~ 23:00,02-997-4988,16
대마족발 미아점,족발/보쌈,3.8,서울 강북구 솔매로46길 6,매일 11:00 ~ 04:00,,18
봄가을카페,디저트카페,4.0,서울 강북구 삼양로 470-1 1층,화~일 09:30 ~ 21:00,02-990-0411,12
송연95닭갈비,닭요리,4.6,서울 강북구 도봉로8길 62,매일 12:00 ~ 24:00,02-982-0656,19
쿠시,일본식주점,3.7,서울 강북구 노해로8길 9-20,영업시간 매일 18:00 ~ 02:00,02-999-0039,14
굴사냥 광산사거리점,굴/전복,2.6,서울 강북구 한천로 1096,영업시간 매일 15:00 ~ 01:00,02-999-9433,9
털보정육식당,육류/고기,3.7,서울 강북구 한천로 1072 동보빌딩 1/2층,화~일 12:00 ~ 23:00,02-990-6863,3
맥도날드 미아DT점,패스트푸드,3.3,서울 강북구 삼양로 158,매일 00:00 ~ 24:00,070-7209-0543,20
전주선지순대추어탕,순대,4.1,서울 강북구 오현로31길 173,매일 10:00 ~ 22:00,02-987-0008,10
연화양꼬치 본관,양꼬치,4.4,서울 강북구 한천로 1078,영업시간 월~토 18:00 ~ 24:00,,12
투썸플레이스 미아사거리역점,커피전문점,1.6,서울 강북구 도봉로10길 6 1층,매일 09:00 ~ 22:00,02-982-2500,27
대하정,닭요리,2.5,서울 강북구 삼양로181길 283,,02-903-4757,6
스시도리,초밥/롤,3.2,서울 강북구 한천로139길 25,매일 11:00 ~ 05:00,02-999-8004,10
다정도병인양,전통찻집,4.2,서울 강북구 4.19로 41-1 2층,화~일 12:00 ~ 22:30,02-990-4190,11
일번지정육식당 수유점,육류/고기,3.6,서울 강북구 한천로140길 5,매일 10:30 ~ 01:00,02-903-1015,7
화로상회 미아1호점,육류/고기,4.0,서울 강북구 솔샘로 266-1,매일 12:00 ~ 24:00,02-988-2292,4
무이식당,양식,4.9,서울 강북구 도봉로97길 72 1층,화~일 11:30 ~ 21:00 · 브레이크타임 화~일 15:00 ~ 17:00,070-7543-6196,11
시골길 본점,오리,4.9,서울 강북구 삼양로179길 172,매일 11:00 ~ 21:30,02-994-8989,7
오복닭한마리 미아리본점,닭요리,3.4,서울 강북구 도봉로8길 8,매일 00:00 ~ 24:00,,8
예와손만두,분식,4.8,서울 강북구 4.19로 40-8,월~토 11:00 ~ 20:30,02-905-9659,24
짬뽕장이,중화요리,4.4,서울 강북구 수유로 55,화~일 11:00 ~ 22:00,02-999-3399,14
수유리우동집 강북구청직영점,돈까스/우동,4.1,서울 강북구 한천로 1042,월~토 00:00 ~ 24:00,02-991-6106,10
연탄위에갈비,갈비,4.5,서울 강북구 도봉로49길 12,매일 00:00 ~ 24:00,02-6959-6954,6
신사랑매운갈비찜 수유점,갈비,2.6,서울 강북구 노해로8가길 14,매일 12:00 ~ 03:00,02-906-3888,10
포엔시드니 수유점,동남아음식,4.5,서울 강북구 도봉로89길 1,매일 00:00 ~ 24:00,02-997-0434,13
황금성 강북점,중화요리,1.5,서울 강북구 덕릉로 62,매일 00:00 ~ 24:00,02-989-0101,11
일도씨닭갈비 미아점,닭요리,1.4,서울 강북구 도봉로10가길 8-3,매일 11:00 ~ 24:00,02-982-9008,18
스타벅스 미아뉴타운점,커피전문점,3.8,서울 강북구 삼양로 161 행전빌딩,월~금 07:00 ~ 22:00,1522-3232,13
번418,디저트카페,2.4,서울 강북구 오패산로 414,매일 11:00 ~ 23:00,02-907-5757,30
스타벅스 수유역점,커피전문점,3.2,서울 강북구 도봉로 342,월~금 07:00 ~ 22:00,1522-3232,22
군자대한곱창 수유역점,곱창/막창,3.7,서울 강북구 한천로139길 42 영남빌딩 1층,영업시간 매일 16:00 ~ 02:00,02-900-1193,3
대동집 수유점,호프/요리주점,4.7,서울 강북구 도봉로87길 9-8,영업시간 매일 17:00 ~ 09:00,02-908-2033,3
분코 미아삼거리점,일본식주점,4.0,서울 강북구 월계로7나길 41 2층,영업시간 매일 18:00 ~ 02:00,02-981-1908,8
썬데이스낵,분식,4.5,서울 강북구 도봉로10길 54,,02-946-0057,10
투썸플레이스 수유사거리점,커피전문점,3.9,서울 강북구 도봉로 295 스타타워 1/2층,월~금 07:00 ~ 23:00,02-900-2388,10
스타벅스 미아사거리역점,커피전문점,3.3,서울 강북구 도봉로 32,월~금 07:00 ~ 21:00,1522-3232,15
황제숯불꼼장어,장어,3.5,서울 강북구 노해로 42,영업시간 매일 17:00 ~ 03:00,02-999-1121,4
와겐커피,커피전문점,2.3,서울 강북구 솔매로 131,매일 09:00 ~ 01:00,02-945-3001,16
주대국초밥집,초밥/롤,3.3,서울 강북구 솔샘로48길 4,화요일,02-945-6650,16
제주돈탐라1977 수유점,육류/고기,4.0,서울 강북구 덕릉로 104 뉴그린오피스텔 1층,영업시간 월~수 17:00 ~ 24:00,02-6398-8683,2
아카렌 수유점,일식,4.0,서울 강북구 한천로139가길 26 포엠빌아파트 상가 1층 102호,화~일 11:30 ~ 21:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-999-3329,13
선비촌보쌈,족발/보쌈,4.0,서울 강북구 도봉로29길 10,영업시간 월~토 15:00 ~ 23:59,02-945-7115,2
삼양여관,카페,4.8,서울 강북구 덕릉로8길 6,화~금 10:00 ~ 22:00,,12
명인갈비 미아직영점,갈비,5.0,서울 강북구 솔샘로 327 1층 101호,매일 11:00 ~ 21:50,02-986-9292,6
쭈꾸미도사 수유점,해물/생선,4.0,서울 강북구 노해로8길 29 현대크리스탈 105/106호,월~토 12:00 ~ 03:00,02-900-5979,3
부부횟집,회,3.7,서울 강북구 덕릉로 109,매일 11:00 ~ 23:30,02-980-9046,6
키치,카페,4.7,서울 강북구 도봉로 387,매일 11:00 ~ 22:00,070-8244-0030,17
이공족발 수유점,족발/보쌈,3.9,서울 강북구 도봉로87길 14 2층,영업시간 월/화 16:00 ~ 01:00,02-900-0325,7
장터참숯무한리필 본사직영점,육류/고기,4.1,서울 강북구 도봉로 268 1층,,02-981-9500,12
한일산장,닭요리,5.0,서울 강북구 삼양로181길 239,매일 09:00 ~ 21:00,02-908-9323,1
홍성양꼬치,양꼬치,5.0,서울 강북구 도봉로10다길 10 1층,매일 12:00 ~ 01:00,02-324-6999,6
석가갈비냉면 수유점,갈비,4.1,서울 강북구 한천로 1160,매일 11:00 ~ 23:00,,10
백곱식당 미아사거리점,곱창/막창,3.9,서울 강북구 월계로3길 58,영업시간 매일 14:00 ~ 04:00,02-945-2737,10
왕빈자삼파전 미아사거리본점,한식,2.4,서울 강북구 도봉로8길 29,매일 00:00 ~ 24:00,02-987-0839,16
스타벅스 미아역점,커피전문점,3.8,서울 강북구 도봉로 196 1층,월~금 07:00 ~ 21:00,1522-3232,9
실비집,찌개/전골,2.1,서울 강북구 한천로 1020,영업시간 매일 18:30 ~ 23:00,02-994-1613,26
KFC 미아역점,패스트푸드,2.5,서울 강북구 도봉로 184,매일 10:30 ~ 23:30,02-945-2960,14
카페비르케,카페,3.9,서울 강북구 4.19로 43,매일 10:00 ~ 23:00,,11
대동집 미아사거리점,술집,4.8,서울 강북구 도봉로6길 8 1층,매일 12:00 ~ 04:00,02-987-1126,36
전광수커피하우스 북한산점,커피전문점,4.1,서울 강북구 4.19로 97 1층,매일 11:00 ~ 23:00,02-991-0233,11
백란,카페,3.6,서울 강북구 삼양로181길 201-20,매일 11:00 ~ 22:00,,5
보승회관 수유역점,국밥,4.4,서울 강북구 노해로8길 22 115호,매일 00:00 ~ 24:00,02-907-9911,10
왕의장어,장어,3.0,서울 강북구 삼양로181길 141-5,매일 11:30 ~ 22:00,02-999-9119,4
카페문나잇,카페,4.2,서울 강북구 솔매로50길 7 1층,,070-4046-0915,13
커피타는고양이,고양이카페,2.0,서울 강북구 도봉로 34-8,,02-980-9080,21
마라양꼬치,중식,3.8,서울 강북구 노해로 49,매일 12:00 ~ 02:00,02-905-3838,4
스파웃커피,카페,4.3,서울 강북구 노해로33길 49,매일 10:00 ~ 20:00,,4
버거킹 미아역점,패스트푸드,3.9,서울 강북구 도봉로 188 삼성빌딩 1층,매일 00:00 ~ 24:00,02-988-0332,11
감골오리,오리,5.0,서울 강북구 4.19로 68,,02-993-4199,7
노브랜드버거 미아사거리역점,패스트푸드,4.4,서울 강북구 도봉로 32,매일 10:00 ~ 22:00,02-945-5280,11
