식당이름,메뉴,가격
위샐러듀,징거,13900
위샐러듀,치키,11500
위샐러듀,써니,10900
위샐러듀,솔로몬,11900
위샐러듀,훔스,11900
클로리스 신촌점,로얄 밀크티,7000
클로리스 신촌점,얼그레이,7000
클로리스 신촌점,밀크티 스노우 블러썸,9000
클로리스 신촌점,아쌈밀크 아이스,6000
클로리스 신촌점,에프터눈 티 플레이트,19000
제니스카페,오늘의 스프,8500
제니스카페,토마토와 바질 부르스께따,5500
제니스카페,버섯과 치즈뇨끼 파스타,19500
제니스카페,마르게리따 피자,21500
하루돈까스 본점,하루,8000
하루돈까스 본점,새벽,7500
하루돈까스 본점,해돋이,8500
하루돈까스 본점,노을,8500
하루돈까스 본점,달무리,9000
타코몽,이카 오코노미야끼,12000
타코몽,부타 오코노미야끼,12000
타코몽,믹스 오코노미야끼,15000
타코몽,야끼우동,12000
타코몽,타코야끼 (20개),11000
고래파스타,봉골레파스타,14000
고래파스타,새우루꼴라파스타,14000
고래파스타,라구볼로네제파스타,15000
고래파스타,트러플버섯크림파스타,15000
고래파스타,트러플크림감자뇨끼,16000
미분당 신촌2호점,차돌박이 쌀국수,8000
미분당 신촌2호점,양지쌀국수,8500
미분당 신촌2호점,차돌 양지쌀국수,9500
미분당 신촌2호점,힘줄쌀국수,10000
미분당 신촌2호점,차돌양지힘줄 쌀국수,10000
연희김밥 본점,연희김밥,2500
연희김밥 본점,산더덕김밥,3500
연희김밥 본점,멸치김밥,3500
연희김밥 본점,고추김밥,3500
빵사이에낀과일,과일 샌드위치,4500
빵사이에낀과일,참치 치즈 샌드위치,4500
빵사이에낀과일,오레오 쉐이크,3500
빵사이에낀과일,떡볶이,4500
스시마쯔,모듬초밥,16000
스시마쯔,런치초밥,25000
스시마쯔,디너초밥,30000
스시마쯔,디너특초밥,40000
스시마쯔,사시미,60000
파파브레드,앙버터노아,4200
파파브레드,슈퍼문,2800
파파브레드,육쪽마늘빵,4500
파파브레드,파파스마약빵,3500
파파브레드,앙금맘모스,4000
뉘블랑쉬베이커리,아메리카노,5000
뉘블랑쉬베이커리,카페라떼,5500
뉘블랑쉬베이커리,아이스티,7000
뉘블랑쉬베이커리,크로와상,4000
뉘블랑쉬베이커리,사워도우,9500
돈불1971 신촌직영점,연탄초벌오겹살 (180g),13000
돈불1971 신촌직영점,연탄초벌생고기 (180g),13000
돈불1971 신촌직영점,파간장연탄불고기 (200g),10000
돈불1971 신촌직영점,빨강고추장연탄불고기 (200g),10000
돈불1971 신촌직영점,연탄초벌항정살 (180g),16000
경성팥집옥루몽 신촌본점,가마솥 전통팥빙수,9500
경성팥집옥루몽 신촌본점,교토우지녹차빙수,9900
경성팥집옥루몽 신촌본점,옥루몽 단팥죽,8500
경성팥집옥루몽 신촌본점,더치크림라떼,4500
경성팥집옥루몽 신촌본점,팥초코,4800
스시쇼부,사시미와 우나기동,41000
스시쇼부,사시미와 카이센동,41000
스시쇼부,스시오마카세 A(13pcs),28000
스시쇼부,스시오마카세 B(10pcs),22000
스시이마,런치 코스,30000
스시이마,디너 코스,50000
스시온도,런치,35000
스시온도,디너,70000
참새식당 스즈메,돌문어숙회,25000
참새식당 스즈메,참다랑어뱃살 (4p),15000
참새식당 스즈메,붕장어튀김 (4p),10000
참새식당 스즈메,들기름막국수,8000
참새식당 스즈메,냉모밀,8000
횟집울릉도,모둠회 (2-3인분),65000
횟집울릉도,광어회 (2-3인분),69000
횟집울릉도,방어회,30000
횟집울릉도,모둠물회 (2인),37000
횟집울릉도,회덮밥,14000
은평커피로스터스,아메리카노,4000
은평커피로스터스,시나몬 카푸치노,5300
은평커피로스터스,솔티카라멜크림 아메리카노,5800
은평커피로스터스,솔티카라멜크림 라떼,6500
은평커피로스터스,비엔나커피,6300
니하오,오향장육,13000
니하오,샤오룽바오 (7개),7000
니하오,빠위쟈오즈 (10개),7000
니하오,꿔테 (8개),6000
니하오,쥬차이허즈 (4개),6000
햇살머무는식탁,로스카츠,8500
햇살머무는식탁,히레카츠,9500
햇살머무는식탁,치즈카츠,10500
햇살머무는식탁,멘치카츠,10500
햇살머무는식탁,모둠카츠,10000
오레노라멘 은평점,토리빠이탄,9000
오레노라멘 은평점,카라빠이탄,9000
오레노라멘 은평점,토리소유,9000
오레노라멘 은평점,시오라멘,9000
마마수제만두,샐러리물만두,5000
마마수제만두,새우물만두,5500
마마수제만두,산동짜장면,7000
마마수제만두,굴짬뽕,9000
미닝풀랩,아메리카노,2500
카페 아사,아메리카노,4000
토마스 피,아메리카노,4000
송추가마골 은평점,송추갈비 (250g),32000
송추가마골 은평점,소왕갈비 (280g),42000
송추가마골 은평점,통갈비 (340g),32000
송추가마골 은평점,미갈비 (250g),45000
호반,순대 (중),23000
호반,병어찜 (중),45000
호반,우설,30000
호반,편육,30000
호반,모듬전,25000
BAR CHAM,천안,19000
BAR CHAM,제주 두번쨰,18000
BAR CHAM,안동 두번쨰,19000
스시소라 광화문점,런치 카운터 오마카세,50000
스시소라 광화문점,런치 스시코스,35000
스시소라 광화문점,디너 카운터 오마카세,80000
스시소라 광화문점,디너 스시코스,55000
Osso파스타,열무앤초비스파게티,15000
Osso파스타,홍새우로제 파스타,15000
비엘티스테이크 JW메리어트 호텔 동대문,BLT쉐어링런치 (2인),155000
비엘티스테이크 JW메리어트 호텔 동대문,쉐프의런치,58000
비엘티스테이크 JW메리어트 호텔 동대문,치킨브리스트,28000
비엘티스테이크 JW메리어트 호텔 동대문,립아이스테이크 (360g),127000
비엘티스테이크 JW메리어트 호텔 동대문,티본스테이크 (600g),172000
부촌육회,육회 (200g),15000
부촌육회,산낙지탕탕이,15000
부촌육회,육회물회,25000
부촌육회,육사시미,28000
부촌육회,육회낙지탕탕이,28000
호가양꼬치 4호점,양갈비 (300g),28000
호가양꼬치 4호점,양꼬치 (200g),14000
호가양꼬치 4호점,탕수육,15000
호가양꼬치 4호점,꿔바오루,18000
호가양꼬치 4호점,고급양갈비,28000
만가타,클래식 코스,59000
만가타,테이스팅 코스,69000
만가타,미트볼,16000
만가타,오리 리조또,22000
만가타,염장 플래터,19000
물랑,점심,75000
물랑,저녁,150000
우육면관 청계천점,우육면,9000
우육면관 청계천점,우육면 (특),12000
버거파크 혜화점,치즈버거 (싱글),5900
버거파크 혜화점,치즈버거 (더블),7900
버거파크 혜화점,해쉬베이컨버거 (싱글),6900
버거파크 혜화점,해쉬베이컨버거 (더블),8900
버거파크 혜화점,감자튀김,2500
칸다소바 경복궁점,마제소바,10000
칸다소바 경복궁점,아부라소바,10000
칸다소바 경복궁점,콜라,2000
칸다소바 경복궁점,레드락생맥주,4000
파네트크루아상팩토리 광화문점,파네토네 (대),8000
파네트크루아상팩토리 광화문점,식빵,5800
파네트크루아상팩토리 광화문점,BLT 샌드위치,7300
파네트크루아상팩토리 광화문점,프리미엄 파운드,16000
파네트크루아상팩토리 광화문점,오페라 (조각),7500
폴앤폴리나 광화문점,바게트,4500
폴앤폴리나 광화문점,화이트바게트,4500
폴앤폴리나 광화문점,버터프레첼,3300
폴앤폴리나 광화문점,플레인샌드위치,5500
폴앤폴리나 광화문점,블랙올리브,3600
오죽이네,닭매운탕 (소),25000
오죽이네,닭매운탕 (중),33000
오죽이네,닭매운탕 (대),40000
오죽이네,옻매운탕,50000
오죽이네,쭈꾸미쭈삼겹 (대),36000
부빙,아메리카노,4000
부빙,팥빙수 (1인),8000
부빙,옥수수빙수 (1인),15000
부빙,말차빙수 (1인),10000
부빙,카라멜빙수 (1인),9000
찰스에이치 포시즌스호텔 서울,트러플 감자 크로켓,21000
찰스에이치 포시즌스호텔 서울,찰스 H. 피쉬앤칩스,29000
찰스에이치 포시즌스호텔 서울,조니워커블랙라벨 (Glass),52000
찰스에이치 포시즌스호텔 서울,불렛 버번 (Glass),32000
찰스에이치 포시즌스호텔 서울,잭다니엘 (Glass),24000
오레노라멘 인사점,토리빠이탄,9000
오레노라멘 인사점,카라빠이탄,9000
오레노라멘 인사점,쇼유라멘,9000
오레노라멘 인사점,시오라멘,9000
어쩌다산책,아메리카노,5000
어쩌다산책,라떼,5500
어쩌다산책,플랫화이트,5500
어쩌다산책,카페비엔나,6500
포비 디타워점,블랙커피,3800
포비 디타워점,화이트커피,4500
포비 디타워점,핸드드립,4500
포비 디타워점,플레인 베이글,2500
포비 디타워점,포비 파운드,4500
김진목삼,목살 (150g),14000
김진목삼,삼겹 (150g),14000
김진목삼,항정 (150g),15000
김진목삼,냉면,4000
김진목삼,김치찌개,4000
후니도니 르메이에르종로타운점,바삭 돈까스,8500
후니도니 르메이에르종로타운점,바삭돈새까스,8500
후니도니 르메이에르종로타운점,살얼음동동 냉모밀,7500
후니도니 르메이에르종로타운점,매콤새콤 비빔모밀,7500
후니도니 르메이에르종로타운점,꼬치어묵우동,7500
건강한빵,소프트앙,3500
건강한빵,앙버터,4000
건강한빵,마늘 크림치즈 소보로,3500
건강한빵,플레인 스콘,2800
건강한빵,슈퍼파워 식빵,3500
내자상회,아메리카노,4000
내자상회,플랫화이트,5000
내자상회,쑥라떼,6500
내자상회,나무라떼,6500
내자상회,쑥절미 카스테라,9000
백부장집닭한마리 본점,닭한마리,22000
백부장집닭한마리 본점,닭도리탕 (대),46000
백부장집닭한마리 본점,닭도리탕 (중),37000
광화문뚝감,감자탕 (소),26000
광화문뚝감,해물뼈찜 (소),30000
광화문뚝감,김치삼겹살 (180g),15000
광화문뚝감,김치목살 (180g),14000
광화문뚝감,황태콩나물해장국,8000
포비브라이트 광화문점,롱블랙,3800
포비브라이트 광화문점,플랫화이트 9oz,3800
포비브라이트 광화문점,플랫화이트 5oz,3800
포비브라이트 광화문점,오늘의 드립,4000
포비브라이트 광화문점,레몬티,5000
오스테리아고스마,오늘의 파스타,21000
오스테리아고스마,까르보나라,19000
오스테리아고스마,토르텔리,21000
오스테리아고스마,리소토,19000
오스테리아고스마,소고기채끝스테이크,39000
학술적연구소,데일리 생선구이,28000
학술적연구소,채끝스테이크,36000
학술적연구소,닭볶음슈트,26000
학술적연구소,돼지삼합,20000
학술적연구소,곤드레아란치니,12000
33마켓,아메리카노,6000
33마켓,카페라떼,7000
33마켓,콜드브루,7000
33마켓,블루베리요거트,7000
33마켓,게살증편샌드위치,9000
시조명동닭한마리,엄나무닭한마리,25000
시조명동닭한마리,닭볶음탕,28000
시조명동닭한마리,삼계탕,13000
시조명동닭한마리,모래집볶음,10000
장수한방삼계탕,한방반계탕,9000
장수한방삼계탕,반계탕,8000
장수한방삼계탕,닭도리탕 (중),38000
장수한방삼계탕,삼계탕,13000
오가와,런치,50000
오가와,디너,70000
오가와,포장,30000
오가와,포장,40000
깡통만두,칼만두,9500
깡통만두,손만둣국,10000
깡통만두,육전,25000
깡통만두,만두전골 (중),35000
깡통만두,반반 (수육 +전),40000
소금집델리 안국,잠봉뵈르 샌드위치,12000
소금집델리 안국,살라미 샌드위치,12000
소금집델리 안국,샘플러 보드,28000
소금집델리 안국,베이컨에그 플래터,14000
룰스,양갈비 스테이크,39000
룰스,코코뱅,39000
룰스,수비드 포크 케세롤,28000
룰스,닭가슴살 유자 샐러드,14000
룰스,통양상추 샐러드,19000
에베레스트 동대문점,달 머커니 커리,9000
에베레스트 동대문점,치킨 커리,9000
에베레스트 동대문점,머턴 커리,10000
에베레스트 동대문점,프라운 커리,10000
에베레스트 동대문점,치킨 티카,10000
Scoff 부암점,헤이즐넛레이즌브라우니,6000
Scoff 부암점,피넛버터라즈베리브라우니,5000
Scoff 부암점,레몬케이크,4000
Scoff 부암점,버터스콘,3300
Scoff 부암점,얼그레이스콘,3400
853,목살(150g),14000
853,삼겹살(150g),14000
853,항정살(150g),15000
853,가브리살(150g),15000
유유안 포시즌스호텔 서울,런치 딤섬세트,70000
유유안 포시즌스호텔 서울,런치 시그니처세트,150000
유유안 포시즌스호텔 서울,디너세트 A,160000
유유안 포시즌스호텔 서울,디너세트 B,240000
유유안 포시즌스호텔 서울,북경오리 (반),80000
창신육회,육회,12000
창신육회,한치회,12000
창신육회,산낙지,17000
도취,육회타르타르,23000
도취,가지라자냐,18000
도취,마라순두부전골,22000
도취,소알목심구이,23000
도취,크림치즈곶감말이,13000
육회자매집 2호점,육탕이,28000
육회자매집 2호점,육사시미,28000
육회자매집 2호점,산낙지,15000
육회자매집 2호점,육회,15000
육회자매집 2호점,육회덮밥,7000
평안도만두집,만둣국,10000
평안도만두집,접시만두,10000
평안도만두집,만두전골 (2인분),30000
평안도만두집,만두전골 (3인분),40000
평안도만두집,만두전골 (4인분),50000
온천집,온천집 미소샤브 (1인),17000
온천집,비프스테이크정식,22000
온천집,온전집 수비드수육,28000
온천집,트러플튀김덮밥,17000
온천집,북해도식얼큰샤브,18000
두오모,감자뇨끼,24000
두오모,목살 스테이크,32000
두오모,오일파스타,23000
두오모,피콜로 코스,35000
두오모,그란데 코스,65000
버거뱅 휴업중,버거뱅,9800
버거뱅 휴업중,버거이탈리안,11500
버거뱅 휴업중,치즈버거,8300
버거뱅 휴업중,버거프렌치,13500
버거뱅 휴업중,버거베지테리언,12000
레이지버거클럽 부암점,클래식 치즈버거,7400
레이지버거클럽 부암점,메이킷더블,12000
레이지버거클럽 부암점,레이지갈릭,9400
레이지버거클럽 부암점,레이지미,9400
레이지버거클럽 부암점,레이지 아보카도,10000
석파랑 본점,수복,66000
석파랑 본점,진찬,88000
석파랑 본점,진연,110000
석파랑 본점,만세,110000
석파랑 본점,궁중수라,160000
다운타우너 안국점,아보카도버거,9300
다운타우너 안국점,갈릭버터프라이즈,6300
다운타우너 안국점,치즈버거,6800
다운타우너 안국점,더블더블버거,9800
다운타우너 안국점,해쉬브라운버거,8800
스쿠퍼,컵 or 콘,4500
스쿠퍼,삐꼴로 두가지맛,14000
스쿠퍼,메디오 세가지맛,18000
스쿠퍼,그란데 네가지맛,23000
더미 광화문 본점,더미플러스 (150g),43000
더미 광화문 본점,된장찌개,6000
더미 광화문 본점,물냉면,5000
더미 광화문 본점,볶음밥,5000
더미 광화문 본점,사골곰탕 (점심),12000
국수찾아닭만리,매콤 짜글이 통닭,17000
국수찾아닭만리,옛날 철판통닭,14000
국수찾아닭만리,먹태,15000
국수찾아닭만리,진 멸치국수,5000
국수찾아닭만리,참소라쫄면,8000
화목순대국전문 광화문 1호점,순순대탕,8000
화목순대국전문 광화문 1호점,순대탕,8000
화목순대국전문 광화문 1호점,내장탕,8000
화목순대국전문 광화문 1호점,술국,17000
화목순대국전문 광화문 1호점,모듬,25000
누룩나무,사곡알밤 막걸리,7000
누룩나무,해물부추전,20000
누룩나무,꼬막,25000
누룩나무,먹태,17000
누룩나무,두부김치,18000
수도원,올드 라스푸틴 (330ml),12000
수도원,라 쇼페 (400ml),14000
수도원,코르센동크 아그너스 (330ml),17000
수도원,아첼 블론드 (330ml_,18000
수도원,치즈 플레이트,18000
통의동 국빈관,연탄 양념 소갈비 (280g),29000
통의동 국빈관,특상 한우 짝갈비모둠(130g),39000
통의동 국빈관,중화풍 수제 족편 냉채,12000
통의동 국빈관,사골 떡국,12000
통의동 국빈관,국빈관 된장찌개,9000
오무사,리코타치즈 플레이트,16000
오무사,오무사 플레이트,13000
오무사,올리브와 햄,14000
오무사,백의 그림자,14000
오무사,랙탱글,14000
광화문더덕순대,순대국,8000
광화문더덕순대,돼지국밥,8000
광화문더덕순대,내장탕,8000
광화문더덕순대,모듬순대,22000
광화문더덕순대,수육,20000
오수흑두부,점심특선,8000
오수흑두부,흑두부 불고기정식,17000
오수흑두부,흑두부 갈치구이정식,18000
오수흑두부,생굴 돌솥정식,14000
오수흑두부,생새우돌솥정식,14000
투뿔등심 그랑서울점,투뿔숙성등심,51000
투뿔등심 그랑서울점,투뿔숙성안심,58000
투뿔등심 그랑서울점,프라임숙성등심,39000
투뿔등심 그랑서울점,한우차돌볶음밥,24000
투뿔등심 그랑서울점,갈비곰탕,14000
효자동목고기,목고기 (200g),18000
효자동목고기,가브리살 (200g),18000
효자동목고기,껍데기,6000
효자동목고기,엔초비,6000
효자동목고기,멸치국수,5000
도마유즈라멘 안국점,유즈시오라멘,10000
도마유즈라멘 안국점,유즈소유라멘,10000
도마유즈라멘 안국점,시오라멘,10000
도마유즈라멘 안국점,유즈츠케멘 (중),12000
도마유즈라멘 안국점,백합생트러플라멘,17000
리본윈도우,연어아보카도샐러드,12000
리본윈도우,리코타치즈샐러드,9500
리본윈도우,필리스테이크샌드위치,9500
리본윈도우,에그베이크,12000
리본윈도우,아메리카노,3000
혜화도담,김치찜 (평일점심),8000
혜화도담,대파전,10000
혜화도담,김치찜 (소),20000
혜화도담,돼지갈비찜 (소),26000
혜화도담,낙지볶음 (소),25000
어바웃진스,바베큐플래터 (2인),42000
어바웃진스,바베큐플래터 (3인),77000
어바웃진스,바베큐플래터 (4인),132000
부촌육회 2호점,육회 (200g),15000
부촌육회 2호점,육회낙지탕탕이,28000
부촌육회 2호점,,간천엽
부촌육회 2호점,육회물회,25000
부촌육회 2호점,육사시미,28000
김진목삼 2호점,통목살,14000
김진목삼 2호점,통삼겹,14000
김진목삼 2호점,통항정살,17000
모던샤브하우스,시그티쳐 (성인),53000
모던샤브하우스,스페셜 (성인),78000
모던샤브하우스,프리미엄 (성인),140000
병천유황오리 본점,유황오리 통훈제 샤브샤브 (중),38000
병천유황오리 본점,도가니수육 (중),25000
병천유황오리 본점,오리훈제덮밥,9000
병천유황오리 본점,설렁탕,7000
병천유황오리 본점,들깨 칼국수 사리,2000
깔리,런치 세트 (2인),18000
깔리,깔리 A세트 (2인),26000
깔리,스페셜 VIP B세트 (2인),36000
깔리,탄두리 버섯 티카,13000
깔리,치킨 마카니,10000
스시산원 경,점심 오마카세,50000
스시산원 경,저녁 오마카세,80000
프릳츠커피컴퍼니 2호점,에스프레소,4200
프릳츠커피컴퍼니 2호점,아메리카노,4200
프릳츠커피컴퍼니 2호점,바닐라라떼,5000
프릳츠커피컴퍼니 2호점,프릳츠에일,4300
프릳츠커피컴퍼니 2호점,크루아상,2500
Scoff 서촌점 ,헤이즐넛레이즌브라우니,6000
Scoff 서촌점 ,피넛버터라즈베리브라우니,5000
Scoff 서촌점 ,레몬케이크,4000
Scoff 서촌점 ,버터스콘,3300
Scoff 서촌점 ,얼그레이스콘,3400
서촌계단집,참소라 숙회,29000
서촌계단집,돌문어 숙회,29000
서촌계단집,갑오징어 숙회,29000
서촌계단집,돌멍게 회,29000
서촌계단집,산낙지 회,25000
카페키이로,아메리카노,4500
카페키이로,카페라떼,5000
카페키이로,플랫화이트,5000
카페키이로,핸드드립,5500
카페키이로,비엔나커피,6000
이다,,항정살파스닙퓨레석류샐러드
이다,,덕브레스트레드와인 리덕션롱레드어니언
이다,,안심레드와인 리덕션대파
핏제리아오 본점,오핏자,19500
핏제리아오 본점,스텔라핏자,29000
핏제리아오 본점,마르게리따 엑스트라핏자,19500
핏제리아오 본점,랍스타핏자,39000
핏제리아오 본점,리코다 샐러드,14900
체부동잔치집,잔치국수,3000
체부동잔치집,비빔모밀,5500
체부동잔치집,들깨칼국수,6500
체부동잔치집,해물파전,13000
체부동잔치집,녹두전,10000
순희네빈대떡,빈대떡,4000
순희네빈대떡,고기완자,2000
까사디쉐프,수제살시챠 토마토 생파스타,21000
까사디쉐프,콩피 포크밸리,28000
까사디쉐프,팜샐러드,16500
까사디쉐프,한우카르파치오,19000
까사디쉐프,봉골레파스타,19000
명륜건강원,사과 고추장 제육볶음,8800
명륜건강원,삼겹 생강 간장구이,10800
아키라백 포시즌스호텔 서울,런치세트,70000
아키라백 포시즌스호텔 서울,비즈니스 세트 런치,120000
아키라백 포시즌스호텔 서울,디너세트,175000
아키라백 포시즌스호텔 서울,위켄드 브런치,80000
아키라백 포시즌스호텔 서울,인기메뉴 세트,95000
빚짜,뉴필스,5500
빚짜,카브루골든에일,5500
빚짜,갈릭고르곤졸라피자,8900
빚짜,페퍼로니피자,9900
빚짜,쉐프의 옛날떡볶이,9900
독일주택,헤레틱 이블트윈 레드에일,9500
독일주택,올드 라스푸틴,11000
독일주택,슈나이더 마인 호펜바이세 탭,12000
독일주택,독일플레이트,8000
독일주택,허브소시지와 올리브 치즈 플레이트,22000
계림,닭볶음탕 (소),24000
계림,닭볶음탕 (중),35000
계림,닭볶음탕 (대),47000
떼레노,런치 5코스,70000
떼레노,런치 6코스,95000
떼레노,디너,150000
컨펙션스바이포시즌스,홈메이드 초콜릿 브뤼오쉐,18000
컨펙션스바이포시즌스,잔두야 초콜릿 크루아상,4900
컨펙션스바이포시즌스,브랜 머핀,4100
컨펙션스바이포시즌스,코코 바나나 바,11000
컨펙션스바이포시즌스,마이 디어,12000
더피자필,마르게리타 (12inch),15000
더피자필,페퍼로니 (12inch),16000
더피자필,더 스파이시원 (12inch),17000
더피자필,풍기버섯 (12inch),18000
더피자필,브랙퍼스트 (12inch),19000
커피기업 광화문점,아메리카노,3000
커피기업 광화문점,콜드브루,3500
커피기업 광화문점,스노우비엔나,4300
커피기업 광화문점,다크스노우,4900
커피기업 광화문점,레몬스파클링,4300
퀴진라끌레,쇠꼬리 라구파스타,25000
퀴진라끌레,프렌치렉오브램,46000
퀴진라끌레,비프스테이크,34000
퀴진라끌레,랍스터라비올리,27000
퀴진라끌레,버쉬룸버거,10000
노브13,블루치즈크림만죠,11000
노브13,오늘의파스타,14000
노브13,등심스테이크,27000
천하보쌈,보쌈정식,10000
천하보쌈,모듬보쌈,60000
천하보쌈,불고기정식,10000
천하보쌈,낙지볶음,30000
HIVER,앙버터,3500
HIVER,꿀바게트,3000
HIVER,무화과 깜파뉴,3600
HIVER,크로와상,2600
스토9,체케랏쵸 마라쵸,25000
스토9,나뭇잎마을 깻잎탕슈,21000
스토9,돼지고기숙주볶음,16500
스토9,매콤달콤가지튀김,15500
스토9,와사비문어,16500
육회자매집 3호점,육탕이,28000
육회자매집 3호점,육골뱅이,28000
육회자매집 3호점,육회,15000
육회자매집 3호점,육전,13000
육회자매집 3호점,육회덮밥,7000
시엔스시,런치초밥,17000
시엔스시,시엔 특선 초밥,25000
시엔스시,스페셜초밥,32000
시엔스시,바다 라면,15000
홍성원 본점,자장면,6000
홍성원 본점,짬뽕,7000
홍성원 본점,볶음밥,7500
홍성원 본점,깐쇼중새우,33000
홍성원 본점,탕수육,16000
동북화과왕,꿔바로우,15000
동북화과왕,심장,10000
동북화과왕,염통줄기,10000
동북화과왕,양고기꼬치,13000
동북화과왕,양갈비,25000
우육면관 광화문점,우육샤궈 한상 (1인),19000
우육면관 광화문점,어향가지,18000
우육면관 광화문점,우육면,9000
우육면관 광화문점,수교,7000
정돈 대학로점,등심 돈카츠 (220g),13000
정돈 대학로점,안심 돈카츠 (220g),14000
정돈 대학로점,등심 안심 돈카츠,18000
정돈 대학로점,스페셜등심 돈카츠 (230g),16000
정돈 대학로점,멘치카츠 (180g),17000
힐사이드테이블,델리 브런치&디너,13500
힐사이드테이블,살몬 샐러드,13500
힐사이드테이블,도쿄 샐러드,9800
힐사이드테이블,치킨브레스트,9800
힐사이드테이블,산체스 샐러드,11500
포담,샤오롱바오,6500
포담,게살샤오롱바오,7900
포담,새우샤오마이,7900
갈리나데이지,풍기,24000
갈리나데이지,봉골레,24000
갈리나데이지,보타르가,35000
갈리나데이지,라구,32000
갈리나데이지,로소,28000
종로돈부리,가츠동,8500
종로돈부리,사케동,13000
종로돈부리,카이센동,18000
종로돈부리,돈가츠정식,12000
종로돈부리,왕새우튀김우동,10000
나무사이로,아메리카노,5000
나무사이로,카페라떼,6000
나무사이로,콜드브루,5000
나무사이로,퍼플민트,6000
나무사이로,콩가루 아이스크림,6000
반짝반짝빛나는,매실차,6000
반짝반짝빛나는,유자차,6000
반짝반짝빛나는,국화차,7000
반짝반짝빛나는,검은콩스무디,8000
반짝반짝빛나는,단호박스무디,7000
이태리총각,비프 까르파치오,19000
이태리총각,깔죠네 리코타치즈 샐러드,16000
이태리총각,시져샐러드,15000
이태리총각,마르게리따 피자,16000
이태리총각,알리오 에 올리오 파스타,14000
스펙터,화이트,5500
스펙터,플랫화이트,5500
스펙터,오크베리,7500
스펙터,아인슈페너,6000
스펙터,스펙터커피,6000
살라댕방콕,슈림프팟타이오믈렛,16000
살라댕방콕,뿌팟퐁커리,28000
살라댕방콕,살라댕스페셜 삼단트레이,22000
살라댕방콕,살라댕 모둠 플레이트,16000
살라댕방콕,열대과일쏨땀,15500
나누미떡볶이,쌀떡볶이,4000
나누미떡볶이,찹쌀순대,4000
나누미떡볶이,김밥,4000
나누미떡볶이,부산어묵,1000
양키스버거,클래식 치즈 버거,7500
양키스버거,익선쉬림프칠리버거,8900
양키스버거,칠리치즈베이컨,9600
양키스버거,갈릭베이컨 버거,8500
양키스버거,문래 버거,8900
토속촌삼계탕,토속촌삼계탕,18000
토속촌삼계탕,오골삼계탕,24000
토속촌삼계탕,해물파전,15000
토속촌삼계탕,전기구이통닭,17000
더마틴,젤라또,6500
더마틴,젤라또 테이크아웃 (S),23000
더마틴,젤라또 테이크아웃 (M),29000
더마틴,마틴스 아포카토,8500
더마틴,크로아상,4200
교대이층집 광화문점,통삼겹 (160g),15000
교대이층집 광화문점,통목살 (160g),15000
교대이층집 광화문점,꽃삼겹 (160g),15000
교대이층집 광화문점,가브리살 (150g),14000
교대이층집 광화문점,차돌박이 (150g),25000
황생가칼국수,사골칼국수,9000
황생가칼국수,버섯전골,16000
황생가칼국수,왕만두국,9000
미라보쇼콜라,봉봉 (1pc),2400
미라보쇼콜라,미라보 발렌타인 데이 (12pcs),30000
미라보쇼콜라,쇼콜라쇼,5800
미라보쇼콜라,아메리카노,3500
미라보쇼콜라,초콜릿 아이스크림,4500
야마야,아고다시 간장 (1인),14900
야마야,코쿠 된장 (1인),14900
야마야,신 모츠나베 (1인),15900
야마야,야마야 명란,9800
야마야,야마야 특선 런치,13000
기와탭룸,닭반마리팬구이,21000
기와탭룸,살라미뢰스티,18000
기와탭룸,라구파스타,18000
기와탭룸,하와이안 그릴&프라이즈,19500
기와탭룸,버팔로윙&감자튀김,19000
화양연화,팟타이,9500
화양연화,똠양꿍,18000
화양연화,무댕,10500
화양연화,뿌팟퐁커리,23000
라뚜셩트 혜화점,아메리카노,4000
라뚜셩트 혜화점,에떼,6500
라뚜셩트 혜화점,비비피앙,8000
라뚜셩트 혜화점,생크림케이크,8000
라뚜셩트 혜화점,유주,8000
뚝배기집,우렁된장,6000
뚝배기집,된장찌개,5500
뚝배기집,순두부찌개,5500
뚝배기집,김치찌개,6000
레에스티우,겨울버섯 카르파쵸,16000
레에스티우,엠부티도스 레에스티우,21000
레에스티우,팔마르의 오리,40000
레에스티우,서촌식 문어구이,45000
레에스티우,살라망카 여인의 양,52000
안주마을,돼지 고추장 구이 (200g),11000
안주마을,묵호항 가자미 구이,23000
안주마을,생감자전,15000
안주마을,한우 육회,20000
안주마을,바지락살 전,16000
뎁짜이,하노이 생면쌀국수,9000
뎁짜이,마라 생면쌀국수,12000
뎁짜이,하노이 직화 분짜,12000
뎁짜이,느억맘 새우볶음밥,9000
뎁짜이,반미 샌드위치,7000
니코키친,무사까,20000
니코키친,사가나끼,19000
니코키친,핫메즈,38000
니코키친,기로스,23000
니코키친,수블라키,25000
Mauve,아메리카노,4500
Mauve,아인슈페너,5500
Mauve,블루베리라임 티,6000
Mauve,모브 스택,8500
Mauve,무화과 프렌치토스트,9000
묘미,런치,100000
묘미,디너,180000
주간소바식당산,샐러드소바 정식,15000
주간소바식당산,자루소바,8000
주간소바식당산,타마토로소바,12000
주간소바식당산,주소산돈카츠,11000
주간소바식당산,카레라이스,8000
퀸즈테라스한옥달,단호박 크림스프,15000
퀸즈테라스한옥달,고추장 파스타,21000
퀸즈테라스한옥달,크림까르보나라,18000
퀸즈테라스한옥달,정원피자,21000
퀸즈테라스한옥달,안심 스테이크,43000
