식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
비스테까토레엔, 스테이크 / 바베큐,3.9,서울시 용산구 이태원동 239-4 3F,12:00 - 22:00,02-797-7746,19
일미집, 탕 / 찌개 / 전골,3.9,서울시 용산구 후암동 194-3,11:00 - 21:30,02-776-0670,50
오월의종, 베이커리,3.9,서울시 용산구 한남동 743-8,11:00 - 15:00,02-749-9481,32
마이쥬스, 카페 / 디저트,3.9,서울시 용산구 용산동2가 45-13,12:00 - 21:00,02-794-4550,59
이태원양꼬치, 기타 중식,3.9,서울시 용산구 이태원동 74-20,12:00 - 02:00,02-790-9919,19
야채가게, 일반 주점,3.9,서울시 용산구 용산동2가 45 1F,19:00 - 02:00,070-7622-6942,19
브루클린더버거조인트, 브런치 / 버거 / 샌드위치,3.9,서울시 용산구 이촌동 301-155 1F,11:00 - 21:00,02-790-7180,25
앤더슨씨, 카페 / 디저트,3.9,서울시 용산구 한남동 680-1 나인원한남 고메이494 어트랙션존 B1,10:00 - 22:00,02-792-0865,17
꽃보다크레페, 카페 / 디저트,3.9,서울시 용산구 청파동3가 60,월-금: 11:00 - 21:00 일: 12:00 - 20:00,02-717-1029,27
교토마블, 베이커리,3.9,서울시 용산구 용산동5가 24-1 파크타워 106동 지하상가,08:00 - 19:00,02-3785-2002,19
타르틴베이커리, 베이커리,3.9,서울시 용산구 한강로3가 40-999 HDC 아이파크몰 패션파크 1F,10:00 - 19:00,02-2012-3782,13
은마양대창, 고기 요리,3.9,서울시 용산구 한남동 683-2,11:30 - 22:00,02-797-5422,23
TRVR, 카페 / 디저트,3.9,서울시 용산구 이태원동 207-32,,02-6927-7727,9
몽소, 베이커리,3.9,서울시 용산구 청파동2가 90-18,월-금: 08:00 - 22:30 토-일: 08:00 - 21:30,02-706-7646,28
타이거슈가, 카페 / 디저트,3.9,서울시 용산구 한강로3가 40-999 아이파크몰 4F,,,24
BBHAY, 카페 / 디저트,3.9,서울시 용산구 한남동 726-90,"월, 화",02-6081-1008,7
킹스베케이션, 칵테일 / 와인,3.9,서울시 용산구 한강로3가 40-969 스카이킹덤 31-32F,18:00 - 02:00,02-2223-7940,9
시실리, 해산물 요리,3.9,서울시 용산구 한남동 78-10,월-토: 17:00 - 03:00 일: 17:00 - 01:00,02-796-6261,19
지노스 피자리아, 기타 양식,3.9,서울시 용산구 이태원동 455-47,12:00 - 22:00,02-790-2235,15
쿠나, 이탈리안,4.8,서울시 성동구 성수동2가 302-8 105호,화-토: 12:00 - 22:00 일: 12:00 - 20:00,0507-1448-1040,33
세스크멘슬, 스테이크 / 바베큐,4.6,서울시 성동구 성수동2가 322-20,화-금: 11:00 - 20:00 토-일: 11:00 - 21:00,02-6082-0393,64
로컬릿, 이탈리안,4.6,서울시 성동구 옥수동 201-1 2F,11:00 - 21:00,02-2282-1124,41
발렁스, 카페 / 디저트,4.6,서울시 성동구 성수동2가 310-16,12:00 - 19:00,010-2510-7228,21
디핀옥수, 이탈리안,4.6,서울시 성동구 옥수동 244-10 B1,,02-2292-4410,11
다로베 (휴업중), 이탈리안,4.5,서울시 성동구 성수동1가 668-3,12:00 - 22:00  ,02-499-3666,251
보이어, 기타 양식,4.5,서울시 성동구 성수동1가 16-26 1F,12:00 - 23:00,070-4866-5995,69
우동가조쿠, 라멘 / 소바 / 우동,4.5,서울시 성동구 행당동 32-22,11:00 - 20:30,02-762-2177,137
춘향미엔, 딤섬 / 만두,4.5,서울시 성동구 행당동 299-1,11:00 - 05:00,02-2281-9031,78
로우커피스탠드, 카페 / 디저트,4.5,서울시 성동구 성수동1가 8-16 1F,월-금: 08:00 - 18:00 토-일: 10:00 - 18:00,0507-1334-3343,69
팩피, 기타 양식,4.4,서울시 성동구 성수동1가 656-947 102호,11:30 - 22:00,02-6052-7595,149
어메이징브루잉컴퍼니, 치킨 / 호프 / 펍,4.4,서울시 성동구 성수동1가 27-12,월-금: 18:00 - 01:00 토: 16:00 - 01:00 일: 16:00 - 24:00,02-465-5208,143
센터커피, 카페 / 디저트,4.4,서울시 성동구 성수동1가 685-478,10:00 - 21:00,070-8868-2008,125
와하카, 남미 음식,4.4,서울시 성동구 성수동2가 299-225,화-금: 11:30~22:00 토-일: 12:00 - 22:00,02-462-7292,133
옥수동 화덕피자, 이탈리안,4.4,서울시 성동구 옥수동 285-60 2F,11:30 - 22:00,02-6084-2019,73
마하차이, 태국 음식,4.4,서울시 성동구 성수동2가 339-22 2F,월-금: 11:00 - 21:00 토-일: 11:30 - 21:00,02-468-5678,71
차만다, 세계음식 기타,4.4,서울시 성동구 성수동1가 685-480,월-금: 11:30 - 22:00 토-일: 12:00 - 22:00,02-6448-0812,40
하노이102, 베트남 음식,4.4,서울시 성동구 성수동1가 668-18,11:30 - 22:00,02-469-5101,60
스탠드업플리즈바이턴온, 카페 / 디저트,4.4,서울시 성동구 성수동2가 302-24,,,6
델오르노, 이탈리안,4.4,서울시 성동구 행당동 1-90,12:00 - 21:00,02-2292-2782,8
맛차차, 카페 / 디저트,4.3,서울시 성동구 성수동1가 685-450 1F,11:00 - 19:00,010-9719-8707,46
누메로도스, 이탈리안,4.3,서울시 성동구 성수동1가 656-1021,11:00 - 22:00,02-468-7943,93
라멘오야지, 라멘 / 소바 / 우동,4.3,서울시 성동구 성수동1가 668-41 2F,11:30 - 21:00,02-6401-6841,66
소소하게, 카페 / 디저트,4.3,서울시 성동구 성수동1가 104,화-토: 12:00 - 21:00 일: 12:00 - 20:00,02-465-5554,54
르프리크, 브런치 / 버거 / 샌드위치,4.3,서울시 성동구 성수동2가 302-8 B103호,11:30 - 21:00,02-2054-0119,49
아우프글렛, 카페 / 디저트,4.3,서울시 성동구 금호동1가 1801-4 1F,,,57
청죽골식당, 고기 요리,4.3,서울시 성동구 성수동1가 668-32 1F,11:30 - 22:00,02-464-1203,47
돈까스전원, 까스 요리,4.3,서울시 성동구 도선동 201-3,월-금: 11:30 - 21:00 토: 12:00 - 15:00,0507-1346-7104,19
일품생고기, 고기 요리,4.3,서울시 성동구 옥수동 384,11:30 - 23:00,02-2295-6566,21
꼬랑치킨, 닭 / 오리 요리,4.3,서울시 성동구 행당동 309-62,16:00 - 03:00,02-2298-8498,6
푸른햇살, 기타 한식,4.3,서울시 성동구 행당동 19-9 6호,,02-2298-3394,8
밀도, 베이커리,4.2,서울시 성동구 성수동1가 656-442,11:00 - 19:00,02-497-5050,122
팜티진, 베트남 음식,4.2,서울시 성동구 성수동1가 656-3 서울숲포휴,10:00 - 21:00,02-2293-2214,110
제스티살룬, 브런치 / 버거 / 샌드위치,4.2,서울시 성동구 성수동1가 685-424 2F,11:30 - 21:30,02-2205-2622,69
빵의정석, 베이커리,4.2,서울시 성동구 성수동1가 668-49,11:30 - 19:00,02-466-9609,47
더코너키친, 이탈리안,4.2,서울시 성동구 옥수동 365-17,11:30 - 22:00,02-6448-9090,61
미도림, 칵테일 / 와인,4.2,서울시 성동구 성수동1가 656-1069 3F,월-금: 12:00 - 21:00 토-일: 14:00 - 21:00,02-469-8486,16
빠오즈푸, 딤섬 / 만두,4.2,서울시 성동구 성수동1가 656-1082 1F,11:30 - 21:30,02-499-9256,23
우동가조쿠, 라멘 / 소바 / 우동,4.2,서울시 성동구 성수동2가 301-53,11:00 - 21:00,02-556-2177,22
갈십리, 카페 / 디저트,4.2,서울시 성동구 행당동 19-108,10:00 - 24:00,010-9034-3939,24
더파머스카페, 카페 / 디저트,4.2,서울시 성동구 성수동1가 656-1083 1F,11:00 - 22:00,02-464-4222,17
마장황소곱창, 고기 요리,4.2,서울시 성동구 행당동 192-30,"25,000원",02-2292-9786,9
소문난성수감자탕, 탕 / 찌개 / 전골,4.1,서울시 성동구 성수동2가 315-100,00:00 - 24:00,02-465-6580,160
푸줏간생고기점, 고기 요리,4.1,서울시 성동구 행당동 292-54,14:00 - 24:00,02-749-7361,54
TBD, 칵테일 / 와인,4.1,서울시 성동구 성수동1가 16-22,월-금: 18:00 - 24:00 토-일: 12:00 - 24:00,02-465-3334,60
뺑드에코, 베이커리,4.1,서울시 성동구 성수동2가 310-7 2F,11:00 - 19:00,02-462-4730,33
성수베이킹스튜디오, 베이커리,4.1,서울시 성동구 성수동1가 668-123 B1,토-일: 10:00 - 20:00,02-468-0789,16
잇샐러드, 기타 양식,4.1,서울시 성동구 성수동2가 300-8 1F,11:00 - 21:00,070-8118-1751,19
모찌모찌, 베이커리,4.1,서울시 성동구 옥수동 362-3,08:00 - 20:00,02-2282-0907,16
버섯집, 탕 / 찌개 / 전골,4.1,서울시 성동구 성수동1가 668-34,11:00 - 22:00,02-3409-8887,28
달바, 칵테일 / 와인,4.1,서울시 성동구 행당동 19-60,19:00 - 03:00,02-2293-1960,23
땅코참숯구이, 고기 요리,4.0,서울시 성동구 행당동 292-34,16:00 - 24:00,02-2281-6908,144
로우키, 카페 / 디저트,4.0,서울시 성동구 성수동2가 302-16,                      메뉴,,37
성수족발, 고기 요리,4.0,서울시 성동구 성수동2가 289-273 동진빌딩 1F,12:00 - 22:00,02-464-0425,163
커피식탁, 카페 / 디저트,4.0,서울시 성동구 성수동1가 656-1096,월-금: 08:00 - 20:00 토: 12:00 - 18:00,02-499-9029,36
엽기꼼닭발, 닭 / 오리 요리,4.0,서울시 성동구 도선동 50,16:00 - 12:30,02-2299-3838,42
만두전빵, 기타 한식,4.0,서울시 성동구 행당동 317-72,11:00 - 21:30,02-2292-6882,27
퍼주에, 베트남 음식,4.0,서울시 성동구 금호동4가 1190,10:30 - 21:30,0507-1304-6999,14
마이 314, 태국 음식,4.0,서울시 성동구 옥수동 314-4,,02-6406-5130,14
훼미리손칼국수, 국수 / 면 요리,4.0,서울시 성동구 성수동1가 656-970,10:00 - 22:00,02-463-5036,19
칙피스, 기타 양식,4.0,서울시 성동구 성수동2가 302-8 블루스톤타워 1F 101호,11:30 - 21:00,02-2054-0248,15
백정돈공장, 고기 요리,4.0,서울시 성동구 성수동2가 310-1,17:00 - 24:00,02-462-8295,15
이스파이, 베이커리,4.0,서울시 성동구 옥수동 228-1 1F,10:00 - 21:00,02-2297-5900,12
카모플라쥬, 카페 / 디저트,4.0,서울시 성동구 성수동1가 656-703,11:30 - 20:30,02-5350-1530,8
한양대신닭발, 닭 / 오리 요리,4.0,서울시 성동구 행당동 10-1,17:00 - 02:00,070-8111-2588,10
일구공, 브런치 / 버거 / 샌드위치,4.0,서울시 성동구 성수동1가 685-405 1F,,02-499-0190,8
옥정김밥, 기타 한식,4.0,서울시 성동구 옥수동 314-10,06:00 - 21:00,02-2297-5646,8
바이 레인, 카페 / 디저트,3.9,서울시 성동구 성수동1가 656-980 1F,"월, 화",,37
ㅊa, 카페 / 디저트,3.9,서울시 성동구 성수동1가 685-408,10:00 - 22:00,02-538-1014,55
카멜 커피, 카페 / 디저트,3.9,서울시 성동구 성수동2가 570-1 나사로교회 1F,11:30 - 21:00,070-8711-3337,44
미아논나, 브런치 / 버거 / 샌드위치,3.9,서울시 성동구 성수동2가 302-8 블루스톤타워 1F 104호,11:00 - 20:00,02-2054-0111,35
악어떡볶이, 기타 한식,3.9,서울시 성동구 행당동 3-27,10:00 - 23:30,02-2281-9988,105
키커피 컴퍼니, 카페 / 디저트,3.9,서울시 성동구 행당동 130-115 1F,월-금: 09:00 - 22:00 토: 10:00 - 22:00 일: 11:00 - 22:00,070-4230-8893,34
토라식당, 정통 일식 / 일반 일식,3.9,서울시 성동구 성수동1가 14-47,월-금: 11:30 - 24:00 토: 12:00 - 22:00,02-6012-7690,30
아니스, 카페 / 디저트,3.9,서울시 성동구 옥수동 220-1 한남하이츠상가 1F,월-금: 09:00 - 21:30 토-일: 10:00 - 21:30,02-2299-2822,34
컨템포, 카페 / 디저트,3.9,서울시 성동구 성수동2가 301-72,11:00 - 20:00,02-6956-8985,18
뺑드미, 베이커리,3.9,서울시 성동구 행당동 1-90,11:00 - 21:00,070-4250-2338,72
메쉬커피, 카페 / 디저트,3.9,서울시 성동구 성수동1가 685-307,월-토: 10:00 - 18:00,02-464-7078,18
카페노티드, 카페 / 디저트,3.9,서울시 성동구 성수동2가 301-16,,,8
다시올치킨, 닭 / 오리 요리,3.9,서울시 성동구 사근동 176-5,12:00 - 01:00,02-2293-8979,18
럭키스타커피로스터스, 카페 / 디저트,3.9,서울시 성동구 행당동 21-10,09:00 - 21:00,02-2292-3877,10
레벨커피바, 카페 / 디저트,3.9,서울시 성동구 도선동 330 1F,,02-6407-7770,4
어니언, 카페 / 디저트,3.8,서울시 성동구 성수동2가 277-135,월-금: 08:00 - 22:00 토-일: 10:00 - 22:00,070-4353-3238,190
자그마치, 카페 / 디저트,3.8,서울시 성동구 성수동2가 317-12,11:00 - 23:00,070-4409-7700,129
헤이보울, 기타 양식,3.8,서울시 성동구 성수동2가 321-70 1F,월-금: 11:30 - 20:30 토-일: 11:00 - 21:00,070-8845-6847,28
카페테리아 라루나, 기타 양식,3.8,서울시 성동구 성수동1가 685-208,12:00 - 22:00,02-465-3666,11
카페연무장, 카페 / 디저트,3.8,서울시 성동구 성수동2가 310-63,,02-499-4434,11
빌로우, 카페 / 디저트,3.8,서울시 성동구 성수동1가 668-90,,,15
버거쑈, 브런치 / 버거 / 샌드위치,3.8,서울시 성동구 행당동 3-20,11:00 - 21:30,02-2297-7592,27
스탠다드 빌라, 이탈리안,3.8,서울시 성동구 옥수동 285-60 1F,11:00 - 21:00,02-2294-2234,13
조씨네고기국수, 국수 / 면 요리,3.8,서울시 성동구 행당동 158-16 1F,11:20 - 20:30,02-2299-0423,18
할머니의레시피, 한정식 / 백반 / 정통 한식,3.7,서울시 성동구 성수동1가 668-108,11:30 - 22:00,02-467-5101,84
대도식당, 고기 요리,3.7,서울시 성동구 홍익동 431,11:00 - 22:00,02-2292-9772,89
앤드밀, 카페 / 디저트,3.7,서울시 성동구 성수동2가 301-18 3F,11:00 - 20:00,070-8888-0919,35
행운돈가스, 기타 한식,3.7,서울시 성동구 행당동 20-17,11:00 - 21:30,02-2296-3406,42
오드투스윗, 카페 / 디저트,3.7,서울시 성동구 성수동1가 16-40,12:00 - 19:00,02-499-0036,8
일미락, 고기 요리,3.7,서울시 성동구 성수동1가 13-160,12:00 - 24:00,02-499-9293,21
서울숲누룽지통닭구이, 닭 / 오리 요리,3.7,서울시 성동구 성수동1가 656-940,월-금: 16:00 - 24:00 토-일: 15:00 - 24:00,02-462-9920,33
문화식당, 퓨전 양식,3.7,서울시 성동구 성수동2가 310-21 2F,월-토: 11:30 - 23:30 일: 12:00 - 21:30,02-465-9007,24
에픽에스프레소더커피바, 카페 / 디저트,3.7,서울시 성동구 하왕십리동 1066 텐즈힐 1구역 117동  B105호,09:00 - 20:00,010-8800-4121,14
프랑스포차, 프랑스 음식,3.7,서울시 성동구 성수동2가 315-30,월-금: 11:30 - 24:00 토-일: 16:00 - 24:00,02-3144-9191,12
치카치카, 카페 / 디저트,3.7,서울시 성동구 성수동2가 310-64,수-토: 10:00 - 21:00 일: 10:00 - 20:00,02-498-3478,14
스시로지, 회 / 스시,3.7,서울시 성동구 행당동 19-103,월-금: 11:30 - 24:00 토-일: 11:30 - 02:00,02-2299-7272,17
중앙감속기, 퓨전 양식,3.6,서울시 성동구 성수동2가 301-98,12:00 - 21:00,02-466-9628,26
포피나, 이탈리안,3.6,서울시 성동구 성수동1가 685-502 1F,12:00 - 22:00,02-6083-8824,12
녹마이, 태국 음식,3.6,서울시 성동구 성수동1가 656-805 102호,11:00 - 21:00,02-461-6574,32
그레이스톤, 카페 / 디저트,3.6,서울시 성동구 성수동2가 333-140 서울숲코오롱디지털타워2차 106호,월-금: 09:00 - 22:00 토-일: 12:30 - 22:00,02-498-7878,15
카페라잌유, 카페 / 디저트,3.6,서울시 성동구 성수동1가 656-1017,화-금: 11:00 - 21:30 토-일: 12:00 - 22:00,02-462-1758,9
장어구이, 해산물 요리,3.6,서울시 성동구 행당동 19-54,11:00 - 21:00,02-2294-8999,54
동해루, 정통 중식 / 일반 중식,3.6,서울시 성동구 행당동 128-456,11:00 - 20:30,02-2292-5342,11
BNHR, 카페 / 디저트,3.6,서울시 성동구 성수동2가 302-8 블루스톤타워 1F,화,,11
열혈쭈꾸미, 해산물 요리,3.6,서울시 성동구 성수동1가 668-20,11:30 - 23:00,02-462-5556,11
길이식당, 기타 중식,3.6,서울시 성동구 사근동 307-2,11:00 - 22:00,02-2281-8822,11
곱창하우스, 고기 요리,3.5,서울시 성동구 행당동 1-50,15:00 - 01:00,02-2292-4978,21
황소곱창, 고기 요리,3.5,서울시 성동구 행당동 19-50,월-금: 16:00 - 24:30 토-일: 16:00 - 01:30,02-2294-2066,24
블루보틀, 카페 / 디저트,3.4,서울시 성동구 성수동1가 656-302,08:00 - 20:00,02-6212-6998,63
윤경양식당, 기타 한식,3.4,서울시 성동구 성수동1가 668-105 2F,11:30 - 21:30,0507-1443-3308,78
할아버지공장, 카페 / 디저트,3.4,서울시 성동구 성수동2가 309-133,,,37
카페성수, 카페 / 디저트,3.4,서울시 성동구 성수동1가 668-30,10:00 - 22:00,02-465-1077,47
맛나곱창, 고기 요리,3.4,서울시 성동구 홍익동 130-1,15:00 - 03:00,02-2282-3349,67
카페온화, 카페 / 디저트,3.4,서울시 성동구 성수동2가 302-4 1F,11:00 - 23:00,02-461-0031,14
Time After Time, 카페 / 디저트,3.4,서울시 성동구 성수동2가 310-60,,070-8891-9629,13
냐항, 베트남 음식,3.4,서울시 성동구 성수동2가 301-87 1F,11:30 - 22:00,02-497-5279,8
칸토, 카페 / 디저트,3.4,서울시 성동구 성수동1가 16-40,,010-8386-3657,8
금미옥, 기타 한식,3.4,서울시 성동구 성수동1가 656-1069,14:00 - 15:00,02-497-0401,5
도치피자, 이탈리안,3.3,서울시 성동구 성수동2가 301-58 1-2F,11:30 - 22:00,02-469-8002,30
카페타치, 카페 / 디저트,3.3,서울시 성동구 성수동1가 668-101 1F,월-금: 11:00 - 20:00 토-일: 11:00 - 21:00,02-465-0415,21
양의공간, 기타 양식,3.3,서울시 성동구 성수동1가 656-570 2F,,010-6421-3486,4
엘루이 피자앤펍, 치킨 / 호프 / 펍,3.3,서울시 성동구 행당동 4-20,,02-2291-1365,21
언더커버, 이탈리안,3.3,서울시 성동구 행당동 1-30,,02-2298-0666,7
밀본, 국수 / 면 요리,3.3,서울시 성동구 성수동2가 300-80 예당빌딩 1F,11:00 - 22:00,02-499-9801,13
진작다이닝, 퓨전 일식,3.3,서울시 성동구 성수동1가 656-1250,,02-464-4484,7
도스마스, 남미 음식,3.3,서울시 성동구 행당동 20-17,10:00 - 22:00,02-2294-1818,21
마크69, 카페 / 디저트,3.2,서울시 성동구 성수동1가 685-350,11:00 - 22:00,010-3409-3358,7
춘하추우동, 라멘 / 소바 / 우동,3.2,서울시 성동구 성수동2가 302-13,월-금: 11:00 - 21:00 토: 11:00 - 15:30,010-2733-5327,15
스시무카, 회 / 스시,,서울시 성동구 하왕십리동 1070 센트라스상가 L동 103호,11:30 - 22:00,02-6448-5776,7
도누리왕십리곱창, 고기 요리,,서울시 성동구 행당동 191-20,12:00 - 24:00,02-2281-9088,15
한우마을, 고기 요리,,서울시 성동구 마장동 509-11,10:00 - 22:00,02-2291-0292,5
스윗스튜디오달디, 카페 / 디저트,,서울시 성동구 옥수동 250-7 305호,,02-792-4247,5
장고, 스테이크 / 바베큐,,서울시 성동구 성수동1가 668-140,월-금: 18:00 - 23:00 토-일: 17:00 - 23:00 ,02-497-1275,3
루프, 카페 / 디저트,,서울시 성동구 성수동2가 302-43 1F,,070-7740-2020,5
원기옥, 한정식 / 백반 / 정통 한식,,서울시 성동구 성수동2가 280 성수SK1CENTER 109호,,,4
스시즈메, 회 / 스시,,서울시 성동구 옥수동 560 옥수어울림,11:30 - 22:30,02-2281-8281,5
제일, 고기 요리,,서울시 성동구 성수동1가 656-405 1F,,02-497-0918,4
뚝도농원, 닭 / 오리 요리,,서울시 성동구 성수동2가 302-34,,02-499-3330,3
쿤스트테이블, 브런치 / 버거 / 샌드위치,,서울시 성동구 성수동2가 333-140 서울숲코오롱디지털타워 2차,11:00 - 21:00,02-462-6003,3
시에나에스테이트, 이탈리안,,서울시 성동구 성수동2가 280-6 데시앙플렉스 106호,11:30 - 22:00,02-6951-2656,3
블랑제리새벽, 베이커리,,서울시 성동구 행당동 100-2 서울숲리버뷰자이아파트 상가 1F 1103호,,02-2299-1083,3
왕십리육감식당, 고기 요리,,서울시 성동구 하왕십리동 966-20,,02-2291-6092,3
무브모브, 카페 / 디저트,,서울시 성동구 성수동2가 301-51,월-금: 07:00 - 22:00 토: 12:00 - 22:00 일: 12:00 - 21:00,02-466-0878,3
SUSHI702, 회 / 스시,,서울시 성동구 금호동4가 1527 1F 1호,,0507-1331-7028,3
무식당, 고기 요리,,서울시 성동구 성수동1가 656-1042,17:00 - 24:00,02-464-8292,1
우에노421, 카페 / 디저트,,서울시 성동구 하왕십리동 1015-7,,02-2299-5596,10
수피, 카페 / 디저트,,서울시 성동구 성수동2가 320-5,,02-6406-3388,7
금남방, 칵테일 / 와인,,서울시 성동구 금호동4가 1094,,,3
삼원해천탕, 해산물 요리,,서울시 성동구 옥수동 220-1 한남하이츠아파트,11:30 - 22:00,02-2297-4075,14
푸르너스가든, 카페 / 디저트,,서울시 성동구 성수동1가 668-109,월-금: 10:00 - 20:00 토-일: 11:00 - 20:00,02-499-5673,9
토브베이커리카페, 베이커리,,서울시 성동구 하왕십리동 1070-1,,02-2295-1462,6
외가집, 고기 요리,,서울시 성동구 성수동2가 302-36,11:00 - 22:00,02-463-0748,5
우정돈식당, 고기 요리,,서울시 성동구 성수동2가 320-1 16호,11:30 - 23:00,02-497-7777,6
짚신매운갈비찜, 고기 요리,,서울시 성동구 행당동 3-10,,02-2281-3228,5
뚝섬해물탕, 해산물 요리,,서울시 성동구 성수동2가 566-20,10:00 - 22:30,02-497-4889,4
토상막회, 해산물 요리,,서울시 성동구 하왕십리동 970-50,,02-2298-7067,3
백미주반, 퓨전 양식,,서울시 성동구 성수동2가 301-66,12:00 - 23:00,070-7008-9000,5
장맛손칼국수, 국수 / 면 요리,,서울시 성동구 성수동2가 280-41,,02-462-4389,2
골목냉면, 국수 / 면 요리,,서울시 성동구 금호동3가 405-1,10:00 - 20:40,02-2235-2540,20
위더커피, 카페 / 디저트,,서울시 성동구 금호동3가 210-2,10:00 - 22:00,070-4116-7358,5
그믐족발, 고기 요리,,서울시 성동구 성수동2가 310-67,,02-468-0303,3
무화당, 카페 / 디저트,,서울시 성동구 성수동1가 685-704,,,3
위커파크, 카페 / 디저트,,서울시 성동구 성수동2가 301-3 1F,11:00 - 21:00,070-7622-0447,4
몽련, 고기 요리,,서울시 성동구 성수동1가 656-1044 1F,,02-6953-8525,4
까까를로, 이탈리안,,서울시 성동구 성수동1가 656-1016 1.5F,,070-8865-1047,4
얼룩, 칵테일 / 와인,,서울시 성동구 성수동1가 656-1013,,0507-1373-0920,3
두루식당, 기타 한식,,서울시 성동구 성수동1가 13-106,,02-461-4790,5
El Patio, 카페 / 디저트,,서울시 성동구 성수동1가 16-30,,070-8822-5628,1
찌마찌마, 정통 일식 / 일반 일식,,서울시 성동구 성수동2가 301-18 2F,,02-6014-6013,1
일미리금계찜닭, 닭 / 오리 요리,,서울시 성동구 행당동 3-20 서전빌딩,11:00 - 22:30,02-2281-3166,12
버거보이, 브런치 / 버거 / 샌드위치,,서울시 성동구 성수동2가 280 1F,,02-499-1999,5
거무티티, 카페 / 디저트,,서울시 성동구 행당동 19-109 1F,,010-5528-8400,4
무화당키친, 카페 / 디저트,,서울시 성동구 성수동1가 685-704 언더스탠드에비뉴 C동 19호,,010-7614-2093,2
오르브아플라워앤커피, 카페 / 디저트,,서울시 성동구 금호동3가 1304,11:00 - 22:00,02-2232-1912,1
쿄다이키친, 기타 일식,,서울시 성동구 하왕십리동 1070 L동 1F 139호,11:30 - 22:00,02-6348-2159,2
사진창고, 카페 / 디저트,,서울시 성동구 성수동2가 309-59,11:00 - 21:00,02-461-3070,2
하노이별, 베트남 음식,,서울시 성동구 행당동 317-130,,02-2281-7470,1
대구집, 고기 요리,,서울시 성동구 마장동 437,11:30 - 02:00,02-2294-6349,5
설빙, 카페 / 디저트,,서울시 성동구 행당동 19-100 2F,10:00 - 24:00,02-2282-0053,5
오하이오옥수, 카페 / 디저트,,서울시 성동구 옥수동 100 옥수하이츠아파트,08:30 - 20:30,02-2298-8085,4
눈꽃돼지, 고기 요리,,서울시 성동구 성수동1가 656-990,11:30 - 24:00,02-464-2072,3
주식커피 코시나, 퓨전 양식,,서울시 성동구 성수동1가 13-202 선일빌딩,월-금: 11:00 - 22:00 토-일: 12:00 - 22:00,070-7622-2176,3
다운타우너, 브런치 / 버거 / 샌드위치,,서울시 성동구 성수동2가 301-16,,,3
로우커피스탠드, 카페 / 디저트,,서울시 성동구 성수동2가 272-30 1F,,02-499-2387,2
도네누, 고기 요리,,서울시 성동구 용답동 14-20,11:00 - 02:00,02-2214-3306,2
기어쓰리별채, 카페 / 디저트,,서울시 성동구 성수동2가 271-20 2F,,,1
몽쥬빠티세리, 베이커리,,서울시 성동구 하왕십리동 1070 E동 104호,화-토: 09:00 - 21:00 일: 10:00 - 21:00,02-6448-3241,2
빵집, 베이커리,,서울시 성동구 금호동3가 1290,10:00 - 22:00,02-2282-5515,3
채선당, 탕 / 찌개 / 전골,,서울시 성동구 성수동1가 656-410,,02-467-0857,3
카페 일로, 카페 / 디저트,,서울시 성동구 성수동1가 13-440,월-금: 10:00 - 19:00 토-일: 10:00 - 17:00,02-6014-5989,0
한남일류초밥, 회 / 스시,,서울시 성동구 옥수동 200-5,11:30 - 22:00,02-2294-3428,8
한양대양꼬치, 기타 중식,,서울시 성동구 행당동 4-30,16:00 - 04:00,02-2294-2645,10
잇츠어거스트, 카페 / 디저트,,서울시 성동구 금호동4가 90-6,,02-2299-8110,4
오코노미야키식당하나, 철판 요리,4.6,서울시 광진구 화양동 31-4,월-목: 17:00 - 23:00 금-일: 12:00 - 23:00,02-469-8884,57
원조할아버지손두부, 한정식 / 백반 / 정통 한식,4.5,서울시 광진구 구의동 26-15,06:00 - 22:00,02-447-6540,65
송화산시도삭면, 기타 중식,4.4,서울시 광진구 자양동 851-20,11:00 - 24:00,02-6052-7826,122
빠오즈푸, 딤섬 / 만두,4.4,서울시 광진구 군자동 361-32,11:30 - 21:30,02-462-9256,178
이이요, 회 / 스시,4.4,서울시 광진구 능동 225-1,12:00 - 23:00,02-3437-2225,124
뚝방길 홍차가게, 카페 / 디저트,4.4,서울시 광진구 자양동 589-20,11:00 - 21:00,02-512-0189,55
명봉샤브샤브양꼬치, 기타 중식,4.4,서울시 광진구 자양동 4-1 광진빌딩,월-금: 12:00 - 02:00 토-일: 12:00 - 02:00,02-498-8808,117
매운향솥, 기타 중식,4.4,서울시 광진구 자양동 9-33,11:30 - 23:30,02-6461-0016,111
대흥양다리바베큐, 기타 중식,4.4,서울시 광진구 자양동 6-20 1F,12:00 - 02:00,02-468-6669,47
최가커피, 카페 / 디저트,4.3,서울시 광진구 화양동 11-33,화-토: 11:30 - 24:00 일: 12:00 - 23:00,02-465-7998,135
소바쿠, 라멘 / 소바 / 우동,4.3,서울시 광진구 능동 256-4,11:30 - 21:00,02-447-1470,58
해룡마라룽샤, 기타 중식,4.3,서울시 광진구 자양동 857,12:00 - 24:00,02-462-4009,72
육성회비, 고기 요리,4.3,서울시 광진구 화양동 37-93,월-토: 18:00 - 01:30 일: 18:00 - 23:30,02-468-8096,51
텐동한, 돈부리 / 일본 카레 / 벤토,4.3,서울시 광진구 중곡동 341-26 1F,11:30 - 21:00,02-6080-5856,43
로이베이커리카페, 베이커리,4.3,서울시 광진구 자양동 553-476 1F,08:00 - 22:00,010-8767-7711,13
